
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-592.8619,-582.2609,-578.7305,-577.0602,-575.8676,-575.1522,-574.5411,-574.3787,-573.6635,-573.4629,-573.2337,-572.9377,-572.614,-572.614,-572.4898,-572.232,-571.936,-572.0219,-571.8596,-571.7927,-571.6304,-571.3917,-571.4012,-571.2866,-571.3257,-571.2198,-571.0201,-571.0201,-571.0201,-571.1348,-570.8769,mV
	3.0,"BLANK CONTINUITY",-658.6587,-648.0577,-644.575,-642.7806,-641.6356,-641.1495,-640.2328,-639.9281,-639.1928,-639.2787,-638.7067,-638.8118,-638.0583,-638.2875,-638.0964,-637.705,-637.4471,-637.6859,-637.5903,-637.218,-637.4471,-637.0939,-636.9124,-637.0652,-636.8742,-636.7501,-636.7692,-636.5304,-636.7501,-636.7501,-636.2631,mV
	3.1,"BLANK @20MA CONTINUITY",-913.2518,-905.6847,-903.4902,-902.1161,-901.267,-900.7991,-900.274,-900.188,-899.7783,-899.5396,-899.4727,-899.2054,-899.129,-898.8912,-899.0439,-898.7383,-898.5569,-898.5187,-898.6238,-898.4518,-898.2905,-898.2905,-898.2141,-898.0518,-898.1281,-897.9084,-898.0518,-897.9084,-897.9084,-898.0518,-897.9467,mV
	4.0,"RBLANK CONTINUITY",-694.3845,-685.2236,-681.951,-680.1957,-679.47,-678.8779,-677.9813,-677.7912,-677.2477,-677.0568,-676.7607,-676.5984,-676.1496,-676.226,-675.9586,-675.9968,-675.5671,-675.7581,-675.6148,-675.3761,-675.3475,-674.8423,-675.2233,-675.081,-674.9282,-675.0619,-674.9186,-674.6991,-674.7755,-674.9282,-674.6131,mV
	6.0,"EN CONTINUITY",-705.3102,-696.007,-692.9539,-691.5598,-690.5007,-690.2047,-689.8809,-689.6622,-689.4139,-689.051,-688.9556,-688.4399,-688.2393,-687.972,-688.0388,-687.7524,-687.5623,-687.5623,-687.3522,-687.2185,-686.913,-686.7983,-686.5309,-686.4069,-686.6074,-686.2167,-686.2167,-686.3027,-685.9971,-686.0831,-685.9971,mV
	7.0,"FB CONTINUITY",-710.0334,-701.4836,-698.1346,-696.4557,-695.6059,-695.0807,-694.3176,-694.1458,-693.5538,-693.5441,-693.0972,-692.973,-692.4764,-692.4764,-692.2473,-692.3141,-691.8749,-692.2377,-691.8749,-691.7126,-691.7029,-691.3314,-691.4174,-691.3792,-691.1882,-691.2551,-691.1214,-690.9495,-691.0259,-690.9399,-690.835,mV
	8.0,"DRVCC CONTINUITY",-570.791,-560.0286,-555.9919,-553.9684,-552.8616,-552.0882,-551.2679,-550.8668,-550.3425,-549.9509,-549.7313,-549.4553,-549.0829,-548.9492,-548.7964,-548.6437,-548.3858,-548.424,-548.1184,-548.1853,-547.8997,-547.5846,-547.7278,-547.5751,-547.4318,-547.4222,-547.2026,-547.3649,-547.1644,-547.1271,-546.9744,mV
	9.0,"OUT CONTINUITY",-536.7449,-522.6985,-517.4796,-514.7694,-513.233,-512.6609,-511.4777,-510.9429,-509.9125,-509.9507,-509.1104,-509.2536,-508.3474,-508.08,-507.9759,-507.5939,-507.1364,-507.2787,-507.2701,-506.8213,-506.8213,-506.8213,-506.4011,-506.4871,-506.5253,-506.0574,-506.2293,-505.9427,-505.8377,-506.2197,-505.5895,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.223864,5.145451,5.177488,5.24859,5.081621,5.274748,5.133315,5.255343,5.133937,5.217753,5.124561,5.223244,5.127923,5.278567,5.2581,5.089721,5.142844,5.193491,5.210271,5.143802,5.291091,5.23917,5.088,5.276843,5.160128,5.195212,5.214539,5.1465,5.287174,5.200343,5.077713,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.265226,5.264925,5.264921,5.26473,5.264466,5.264925,5.264921,5.264543,5.264581,5.264581,5.264581,5.264581,5.264581,5.264581,5.265078,5.264581,5.264466,5.264581,5.264276,5.264466,5.264581,5.26473,5.264654,5.264577,5.264543,5.264733,5.264276,5.264577,5.264276,5.264581,5.264581,V
	15.1,"IVIN; PRE-STRESS @VIN=15V",261.2278,261.785,262.47,263.1312,262.9915,263.0381,263.5247,263.0656,263.5655,263.6751,263.9384,263.6253,263.836,263.9962,263.8781,263.7594,263.9655,264.1852,263.9063,264.2502,263.8737,264.2155,264.1026,264.1759,264.6246,264.3375,264.07,264.3417,264.1333,264.2165,264.3056,uA
	18.0,"IVIN ;ABS MAX @VIN=28V",282.2864,283.6418,284.8297,284.9121,283.3675,283.6217,284.3351,284.6012,284.1148,285.211,282.5574,285.456,284.9908,284.2564,282.9577,286.0916,283.346,284.3917,285.9351,284.9637,285.1652,282.9824,285.7184,285.2899,285.6301,285.1887,285.1074,285.0592,284.5975,285.8611,285.1617,uA
	80.0,"DRVCC VOLTAGE",9.998774,9.999454,9.998926,9.998774,9.998774,9.998774,9.998774,9.998919,9.998774,9.998919,9.998774,9.998767,9.998162,9.998767,9.998162,9.998697,9.998697,9.998767,9.998162,9.998162,9.998774,9.998774,9.998774,9.998767,9.998774,9.998774,9.998774,9.998697,9.999537,9.998697,9.998545,V
	80.1,"DRVCC HIGH STRESS @DRVCC=10V",0.2439309,0.2422634,0.2445341,0.2433851,0.2442701,0.2406912,0.2417554,0.2407195,0.2405027,0.2431023,0.2448347,0.2431023,0.2438366,0.2420372,0.2430269,0.2446377,0.2415951,0.2433286,0.2452778,0.2424991,0.2421598,0.2439309,0.2417459,0.2422257,0.2461439,0.2446754,0.2451364,0.2430269,0.2427818,0.2467472,0.2456538,mA
	80.2,"DRVCC LOW STRESS @DRVCC=10V",0.2454936,0.2475474,0.249394,0.2470857,0.2490547,0.2510699,0.2479905,0.2515411,0.2516063,0.2476228,0.2509663,0.2473872,0.2517665,0.250034,0.251381,0.2495826,0.2502981,0.2504855,0.2513905,0.2507966,0.250627,0.2504666,0.2517665,0.2515411,0.2491302,0.2488946,0.2509381,0.2524452,0.2531994,0.2480659,0.2498738,mA
	90.0,"FB @ 9.3V STRESS",-0.4052396,-0.5100533,-0.5314466,-0.4963485,-0.3957059,-0.5385969,-0.4623846,-0.3968976,-0.5100533,-0.5385969,-0.4225196,-0.3861721,-0.1682605,-0.4076231,-0.4392036,-0.529659,-0.4719183,-0.4010686,-0.4445087,-0.4153692,-0.4915816,-0.4713224,-0.5505141,-0.4076231,-0.4719183,-0.39511,-0.4201361,-0.4010686,-0.4540425,-0.481452,-0.4266906,uA
	100.0,"EN @ 9.3V STRESS",-0.4582135,-0.5725608,-0.5481306,-0.4605969,-0.4100065,-0.4427212,-0.4100065,-0.2676538,-0.3682964,-0.5749443,-0.3939183,-0.4582135,-0.6058714,-0.4266906,-0.6148093,-0.5344259,-0.4963485,-0.4427212,-0.5100533,-0.4266906,-0.5100533,-0.4392036,-0.5963953,-0.481452,-0.5052864,-0.4100065,-0.4510632,-0.4457004,-0.4617887,-0.5314466,-0.4171568,uA
	110.0,"IN @ 15V STRESS",-0.06527574,-0.09268893,-0.1522251,-0.04507153,-0.08255796,-0.06885137,-0.08792142,-0.04745528,-0.111163,-0.07361888,-0.05991234,-0.08255796,-0.1004361,-0.06467979,-0.0843458,-0.202284,-0.07361888,-0.07361888,-0.06467979,-0.05991234,-0.07898234,-0.03494058,-0.121294,-0.1981124,-0.05579842,-0.08792142,-0.07898234,-0.121294,-0.08136607,-0.0980524,-0.04983904,uA
	110.1,"IN @ -15V STRESS",-0.1314249,-0.2076474,-0.1766586,-0.111163,-0.1879814,-0.1260615,-0.1599723,-0.120698,-0.1784464,-0.1099712,-0.1451315,-0.1117589,-0.1683155,-0.08553763,-0.09268893,-0.2124149,-0.1975164,-0.1171224,-0.1260615,-0.1492454,-0.111163,-0.1451315,-0.2159905,-0.1683155,-0.1504373,-0.1861936,-0.1171224,-0.1832139,-0.1069914,-0.2076474,-0.1314249,uA
	120.0,"RBLANK @ 5V STRESS",134.9282,135.6053,135.9066,135.8595,136.2079,136.2079,136.0478,136.2079,136.1326,136.5469,136.1326,136.3492,136.1232,136.5657,136.3115,136.5092,136.5469,136.2832,136.4245,136.3115,136.3115,136.3962,136.2079,136.5092,136.2832,136.4245,136.5742,136.3492,136.5469,136.6496,136.4245,uA
