
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-592.0225,-581.4979,-577.7373,-576.2581,-575.0663,-574.3787,-573.8449,-573.3197,-573.0142,-572.4421,-572.3275,-571.936,-571.7163,-571.554,-571.3248,-571.2866,-571.1061,-570.982,-570.8769,-570.6764,-570.5714,-570.409,-570.3326,-570.1807,-570.1043,-570.1521,-569.9993,-569.8847,-569.8847,-569.7319,-569.6555,mV
	3.0,"BLANK CONTINUITY",-656.722,-647.5897,-643.6209,-641.5593,-640.7294,-639.8899,-639.5844,-639.0305,-638.7067,-638.1633,-637.8291,-637.5903,-637.3708,-637.2466,-636.836,-636.9219,-636.9124,-636.454,-636.454,-636.3681,-636.1111,-636.1111,-635.8056,-635.8438,-635.7579,-635.691,-635.7005,-635.3759,-635.3099,-635.3099,-635.1476,mV
	3.1,"BLANK @20MA CONTINUITY",-879.8932,-893.3276,-890.7703,-889.4247,-888.5002,-888.061,-887.6694,-887.5262,-887.0592,-886.9924,-886.4958,-886.4099,-886.2189,-886.0852,-885.9133,-885.9515,-885.9993,-885.4559,-885.5323,-885.475,-885.2267,-885.4559,-885.0166,-885.3031,-885.1599,-884.8638,-884.8638,-884.9211,-884.816,-884.8542,-884.692,mV
	4.0,"RBLANK CONTINUITY",-692.8585,-684.7089,-681.1116,-679.5846,-678.7347,-677.9813,-677.5238,-677.0759,-676.5698,-676.3311,-676.1114,-675.7581,-675.4525,-675.1956,-675.4143,-675.1478,-675.1478,-674.8041,-674.7755,-674.4507,-674.5367,-674.3943,-674.2797,-674.1747,-673.8882,-674.0888,-673.9742,-673.8596,-673.9265,-673.6695,-673.7364,mV
	6.0,"EN CONTINUITY",-700.9966,-693.4687,-690.2056,-688.5831,-687.4381,-686.913,-686.3409,-685.9971,-685.7297,-685.3096,-684.9667,-684.728,-684.5092,-684.3851,-683.8981,-683.9268,-683.9268,-683.8599,-683.6212,-683.5543,-683.1829,-683.287,-682.9822,-682.944,-683.0204,-682.7817,-682.7817,-682.6768,-682.5526,-682.5526,-682.4094,mV
	7.0,"FB CONTINUITY",-702.0948,-694.6891,-691.2551,-689.7377,-688.9746,-688.2108,-687.7524,-687.123,-686.913,-686.5309,-686.445,-685.7775,-685.7966,-685.5292,-685.491,-685.4433,-685.3096,-684.9944,-685.004,-684.7757,-684.9189,-684.4711,-684.6134,-684.3851,-684.2705,-684.5092,-684.2419,-684.0891,-684.1655,-683.9172,-683.9268,mV
	8.0,"DRVCC CONTINUITY",-570.1807,-559.5033,-555.3808,-553.4719,-552.2505,-551.4111,-550.7236,-550.3425,-549.8077,-549.4362,-549.0352,-548.6532,-548.5099,-548.2808,-548.1184,-547.8997,-547.8138,-547.5846,-547.4318,-547.2885,-547.1271,-546.9744,-546.8979,-546.707,-546.5542,-546.5542,-546.3632,-546.3536,-546.2877,-546.2113,-546.1445,mV
	9.0,"OUT CONTINUITY",-534.1493,-520.1898,-514.8267,-512.3076,-510.8665,-509.1964,-509.1009,-508.3187,-507.5748,-507.0982,-506.5921,-506.0479,-505.7232,-505.7613,-504.7023,-505.0079,-504.9983,-504.4158,-504.1493,-504.3117,-504.0061,-503.7014,-503.4531,-503.6155,-503.3481,-503.3004,-503.2336,-503.0234,-502.8611,-502.7847,-502.6224,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.077736,5.113116,5.118122,5.017373,5.079403,4.981725,5.164944,5.082848,5.123882,4.97517,5.094819,5.069192,5.140749,5.113865,5.034087,5.115197,5.11342,5.047012,5.166023,5.14761,5.099189,5.076973,5.101168,5.108565,5.168797,5.093279,5.121827,5.015909,5.035903,5.121012,5.027248,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.278361,5.277483,5.277407,5.277559,5.277291,5.276834,5.277139,5.276489,5.277139,5.276834,5.276681,5.276872,5.277139,5.277291,5.276834,5.276489,5.276757,5.276795,5.276757,5.276834,5.276681,5.276757,5.276757,5.276489,5.277139,5.276948,5.277139,5.277139,5.276681,5.276489,5.276681,V
