
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-592.0798,-577.1271,-573.8162,-570.409,-569.1112,-568.1954,-567.7371,-566.8317,-566.0677,-565.7631,-565.3047,-565.0755,-564.6553,-564.4644,-564.1589,-564.1589,-563.9201,-563.6918,-564.875,-564.3021,-563.921,-563.625,-563.3099,-563.1953,-563.1293,-563.0051,-562.7092,-562.8524,-563.3003,-563.3099,-562.7378,mV
	3.0,"BLANK CONTINUITY",-697.533,-648.8112,-646.3015,-640.7294,-639.5079,-638.7067,-636.836,-637.5903,-636.3108,-636.7501,-637.218,-636.4349,-633.4774,-633.5538,-638.7067,-642.943,-633.0573,-632.3324,-633.697,-632.7048,-632.2083,-631.9504,-631.5694,-631.407,-630.9678,-631.0346,-630.4903,-630.4903,-630.9583,-631.0919,-630.4903,mV
	3.1,"BLANK @20MA CONTINUITY",-1102.795,-1016.572,-1043.939,-986.0673,-988.8052,-988.089,-965.0077,-999.5876,-984.2061,-1004.273,-1017.641,-1015.237,-950.8762,-954.4735,-1040.437,-1134.608,-963.0892,-945.7796,-954.845,-947.5167,-941.191,-941.6397,-942.0972,-938.433,-933.8626,-933.4329,-933.0805,-931.2679,-930.2271,-929.8069,-929.0916,mV
	4.0,"RBLANK CONTINUITY",-693.6683,-680.8824,-677.5046,-674.9378,-673.4785,-672.6669,-672.1703,-671.3787,-670.6538,-670.4246,-670.1954,-669.7285,-669.5756,-669.2032,-669.0887,-669.1172,-668.659,-668.5921,-669.2415,-669.1172,-668.6971,-668.4298,-668.3534,-668.2006,-667.9819,-667.915,-667.7527,-667.7432,-668.086,-668.2101,-667.6763,mV
	6.0,"EN CONTINUITY",-774.1758,-697.8195,-692.5529,-689.5858,-688.2393,-687.018,-686.5309,-685.5292,-685.0804,-684.4711,-683.9268,-683.6976,-683.2488,-683.3252,-682.6958,-682.6385,-682.4379,-682.0274,-682.8963,-682.5621,-681.9415,-681.7218,-681.3016,-681.3303,-681.0447,-681.0352,-680.9492,-680.9492,-681.3016,-681.3685,-680.9492,mV
	7.0,"FB CONTINUITY",-712.9059,-698.7448,-696.1406,-694.0789,-692.0372,-691.1119,-690.6153,-690.0051,-689.051,-689.051,-688.6595,-687.8669,-687.6664,-687.5909,-687.4381,-687.1422,-686.827,-686.4927,-687.123,-686.827,-686.445,-686.2072,-685.9207,-685.7679,-685.8348,-685.7679,-685.6056,-685.7966,-686.1404,-686.1404,-685.6056,mV
	8.0,"DRVCC CONTINUITY",-569.9611,-555.2567,-551.2392,-547.8138,-546.2304,-545.0654,-544.6835,-543.8058,-543.0237,-542.5844,-542.1739,-541.7927,-541.4012,-541.1912,-540.791,-540.6478,-540.4854,-540.2476,-541.2581,-541.0193,-540.3804,-540.1044,-539.7701,-539.6461,-539.5028,-539.264,-539.35,-539.35,-539.7892,-539.4932,-539.1208,mV
	9.0,"OUT CONTINUITY",-535.7145,-516.6688,-511.1148,-506.9454,-504.9219,-503.7014,-502.4791,-501.2578,-500.7048,-500.1223,-499.5685,-498.9582,-498.2611,-498.0893,-496.6014,-497.7377,-497.2221,-497.2125,-497.9556,-497.499,-496.8974,-496.8688,-496.1717,-496.2099,-495.9052,-496.1335,-495.4946,-495.2272,-495.9052,-496.4772,-495.294,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.342396,5.243117,5.133073,5.119888,5.294855,5.222826,5.124493,5.207136,5.213202,5.181217,5.266393,5.128538,5.191722,5.254183,5.219707,5.226119,5.180651,5.240684,5.234962,5.132995,5.320467,5.180984,5.13206,5.204875,5.214627,5.246095,5.171565,5.192647,5.226585,5.243963,5.260379,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.266449,5.265761,5.265494,5.265226,5.265265,5.265342,5.265226,5.265265,5.265226,5.265226,5.265342,5.265226,5.264581,5.265226,5.265188,5.265761,5.264921,5.264581,5.264921,5.264921,5.264925,5.26515,5.265078,5.264581,5.264921,5.264577,5.264921,5.264921,5.265074,5.264581,5.264921,V
