
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-592.6232,-577.8997,-575.4578,-570.9151,-569.7319,-568.5106,-567.7275,-567.1182,-566.6694,-566.402,-566.0677,-565.6103,-565.2952,-565.1614,-564.9609,-564.8463,-564.8463,-564.3021,-564.197,-563.9305,-563.9201,-563.9201,-563.9305,-563.7396,-563.5486,-563.625,-563.6059,-563.4626,-563.3863,-563.1953,-563.4531,mV
	3.0,"BLANK CONTINUITY",-658.2871,-643.936,-641.1877,-636.7501,-635.7197,-634.3941,-633.4011,-633.0859,-632.4756,-632.3992,-631.7881,-631.5694,-631.111,-631.0346,-630.7291,-630.8054,-630.6335,-630.1848,-629.8506,-629.8792,-629.58,-629.8091,-629.7422,-629.4176,-629.5609,-629.2361,-629.4367,-629.198,-629.1216,-628.9974,-629.3412,mV
	3.1,"BLANK @20MA CONTINUITY",-913.2805,-902.9364,-901.0378,-897.9084,-897.2209,-896.1619,-895.7227,-895.2269,-894.9127,-894.8555,-894.2443,-894.1774,-893.8433,-893.9769,-893.4708,-893.5568,-893.5568,-893.2416,-893.2416,-893.022,-892.9465,-892.7173,-892.9465,-892.6027,-892.4882,-892.4796,-892.3649,-892.4509,-892.3172,-892.3172,-892.3458,mV
	4.0,"RBLANK CONTINUITY",-694.1553,-681.7791,-678.8112,-675.3761,-674.0888,-673.0966,-672.2086,-671.7892,-671.4168,-671.1781,-670.6538,-670.1954,-670.2623,-669.8812,-669.7189,-669.8717,-669.4324,-669.1172,-669.0409,-668.9359,-668.7831,-668.8213,-668.6685,-668.6971,-668.5062,-668.4298,-668.5062,-668.2865,-668.3534,-668.0573,-668.4298,mV
	6.0,"EN CONTINUITY",-706.6939,-694.3176,-691.3983,-687.3235,-686.6838,-685.3192,-684.7757,-683.8981,-683.5543,-683.0873,-682.7435,-682.3329,-681.8651,-682.1707,-681.6454,-681.6263,-681.4162,-680.8442,-681.0161,-680.5864,-680.6437,-680.4058,-680.5395,-680.0334,-680.1098,-680.1957,-679.9666,-679.8901,-679.7278,-679.8138,-679.8901,mV
	7.0,"FB CONTINUITY",-711.0352,-698.5547,-695.5009,-692.0372,-690.8063,-689.7291,-688.8887,-688.4399,-688.0483,-687.5995,-687.4095,-687.018,-686.8652,-686.5309,-686.5309,-686.3409,-685.9302,-685.7679,-685.6438,-685.6056,-685.6056,-685.6915,-685.4528,-685.5292,-685.5292,-685.3096,-685.3382,-685.1664,-685.2236,-685.1854,-685.4528,mV
	8.0,"DRVCC CONTINUITY",-570.4949,-556.0206,-552.2028,-548.1948,-546.9744,-545.6097,-544.7217,-543.9204,-543.6244,-543.1669,-542.8613,-542.403,-541.936,-541.7927,-541.7927,-541.4776,-541.3248,-540.6478,-540.7242,-540.4186,-540.4282,-540.3431,-540.2571,-540.1807,-539.837,-539.9611,-539.7988,-539.5123,-539.6461,-539.5028,-539.732,mV
	9.0,"OUT CONTINUITY",-536.211,-517.747,-513.0515,-507.7467,-505.6372,-503.9393,-502.546,-498.6526,-501.2578,-501.0295,-500.1032,-499.7308,-499.0442,-498.8532,-499.1865,-498.433,-498.3089,-497.5085,-497.5085,-497.4322,-496.8878,-497.2221,-497.1266,-496.821,-496.821,-496.2576,-496.4486,-496.0666,-496.1239,-496.2099,-496.1335,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.14858,5.082005,5.173231,5.088153,5.177704,5.226941,5.140116,5.259251,5.169785,5.226365,5.181295,5.29123,5.168591,5.21116,5.300295,5.193274,5.259411,5.244035,5.143198,5.236066,5.135437,5.311223,5.216408,5.204863,5.28973,5.18012,5.266221,5.298407,5.276731,5.306605,5.270051,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.265265,5.264921,5.264581,5.264581,5.264539,5.264581,5.264276,5.264276,5.264276,5.264543,5.264543,5.264925,5.264543,5.264543,5.264925,5.264123,5.264276,5.264925,5.264276,5.264543,5.264543,5.264657,5.264466,5.264466,5.264543,5.264616,5.264276,5.264543,5.264276,5.264276,5.264276,V
	15.1,"IVIN; PRE-STRESS @VIN=15V",261.1538,262.2078,263.1254,263.8414,264.4784,264.3201,264.6246,264.6462,264.9261,264.6481,265.0549,265.1943,265.1184,263.8535,265.0393,264.9634,265.6006,265.3925,265.5017,265.4018,265.6702,265.3012,265.3459,265.5955,265.2144,265.8242,265.4975,265.1494,265.2144,265.6553,265.3187,uA
	18.0,"IVIN ;ABS MAX @VIN=28V",283.6299,285.0781,285.0485,286.8848,284.9063,284.5656,284.4811,286.2681,284.1468,285.7312,286.446,286.021,286.6166,287.0711,285.6501,284.7188,285.4066,285.2653,286.8488,285.9116,285.5547,287.1228,285.6772,285.7773,284.7928,286.2541,287.1277,285.8315,285.0073,285.6439,285.5724,uA
	80.0,"DRVCC VOLTAGE",9.997856,9.998774,9.997856,9.999461,9.998774,9.998545,9.998162,9.999454,9.998774,9.998162,9.999461,9.998767,9.99908,9.998162,9.999461,10.00114,9.998774,9.998774,9.998162,9.998774,9.998162,9.998767,9.998774,9.998774,9.998767,9.998926,9.999454,9.998919,9.999461,9.998774,9.999461,V
	80.1,"DRVCC HIGH STRESS @DRVCC=10V",0.2419618,0.2418864,0.244976,0.2432437,0.2465777,0.2429515,0.2442324,0.243846,0.2460403,0.2456256,0.242829,0.2440063,0.2449101,0.2452212,0.2443737,0.2469828,0.2451928,0.247689,0.2463418,0.2465681,0.2489793,0.2444491,0.2457388,0.2455783,0.2448347,0.2441569,0.246125,0.2437329,0.2459649,0.2470112,0.2450515,mA
	80.2,"DRVCC LOW STRESS @DRVCC=10V",0.2452023,0.2488284,0.2492715,0.249394,0.2505986,0.251381,0.2516063,0.2498738,0.2531994,0.2516818,0.2513998,0.251249,0.2520021,0.2513055,0.2506648,0.2539524,0.2495826,0.2495919,0.2536508,0.2534152,0.2509663,0.2516722,0.2519929,0.251051,0.2507872,0.2546208,0.2494976,0.251381,0.2530108,0.250495,0.2492431,mA
	90.0,"FB @ 9.3V STRESS",-0.4171568,-0.6386437,-0.5576644,-0.4100065,-0.6148093,-0.3778301,-0.4427212,-0.3855763,-0.5052864,-0.5284673,-0.390939,-0.4159651,-0.481452,-0.5242962,-0.4153692,-0.5100533,-0.5368093,-0.4153692,-0.4052396,-0.4909858,-0.5189912,-0.529659,-0.4320534,-0.4915816,-0.3694881,-0.4153692,-0.3843846,-0.5963376,-0.5242962,-0.4046438,-0.3957059,uA
	100.0,"EN @ 9.3V STRESS",-0.4046438,-0.4052396,-0.6428146,-0.5005196,-0.5005196,-0.4201361,-0.3790219,-0.4427788,-0.4915816,-0.5534933,-0.3843846,-0.4415294,-0.4623846,-0.5856698,-0.439146,-0.5385969,-0.7005553,-0.4159651,-0.390939,-0.5005196,-0.6076589,-0.529659,-0.4338409,-0.4617887,-0.4153692,-0.4010686,-0.4338409,-0.5683898,-0.4921775,-0.4457004,-0.4480839,uA
