
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-592.0893,-575.9057,-570.9438,-569.5409,-568.1286,-566.9081,-566.1346,-565.4861,-565.2665,-564.9132,-564.5694,-563.7778,-563.7778,-563.625,-563.6918,-563.0815,-563.0051,-563.0433,-562.8524,-562.4705,-562.4323,-562.4705,-562.2508,-562.2126,-562.0789,-562.0216,-561.9548,-561.8593,-561.7734,-561.631,-561.6692,mV
	3.0,"BLANK CONTINUITY",-668.5062,-645.8823,-640.8439,-636.0634,-634.5374,-633.2482,-632.2943,-631.5599,-631.6458,-630.8054,-630.8054,-629.8792,-629.8506,-629.6468,-629.7422,-629.4081,-628.9315,-628.9688,-628.8256,-628.4254,-628.6641,-628.3585,-628.3872,-628.1675,-628.1198,-628.0148,-627.8143,-627.9766,-627.7388,-627.7092,-627.6051,mV
	3.1,"BLANK @20MA CONTINUITY",-1085.581,-970.1892,-969.5781,-900.3503,-897.4406,-895.2651,-894.5499,-893.7095,-892.7556,-891.7251,-892.4127,-890.9612,-890.331,-889.8926,-890.1887,-889.5775,-889.0045,-888.9672,-888.8154,-888.8154,-888.9663,-888.8918,-889.3578,-888.8336,-889.2814,-889.1287,-889.3578,-889.2814,-889.1191,-889.3961,-889.2814,mV
	4.0,"RBLANK CONTINUITY",-692.2473,-679.8901,-675.0046,-673.5645,-672.3326,-671.3405,-670.5679,-669.8899,-669.8144,-669.2606,-669.1269,-668.6303,-668.2865,-668.4298,-668.2101,-667.8195,-667.5999,-667.6763,-667.4471,-667.428,-667.1702,-667.0651,-667.0651,-666.9896,-666.5313,-666.8178,-666.665,-666.5313,-666.5981,-666.2925,-666.3785,mV
	6.0,"EN CONTINUITY",-703.0966,-690.0233,-685.7966,-683.9268,-682.8677,-681.7218,-680.72,-679.9666,-679.5846,-679.4222,-678.7347,-678.1245,-678.4396,-678.1245,-678.3632,-677.8198,-677.9621,-677.838,-677.5238,-676.9136,-676.9136,-677.0568,-676.9803,-676.6748,-676.8372,-676.6748,-676.7607,-676.5316,-676.3693,-676.6748,-676.5984,mV
	7.0,"FB CONTINUITY",-722.2481,-696.6372,-691.6839,-690.1578,-688.8123,-688.0198,-687.4381,-686.9511,-687.018,-686.8174,-686.9798,-686.6074,-686.0353,-686.1022,-685.7966,-685.3859,-685.1472,-685.0135,-684.5283,-684.6611,-684.4711,-684.5083,-684.0891,-684.4233,-684.2514,-684.5092,-684.5474,-685.9207,-687.2567,-688.5831,-693.8593,mV
	8.0,"DRVCC CONTINUITY",-568.9594,-554.531,-549.0352,-546.9744,-545.6097,-544.2355,-543.462,-542.7372,-542.2407,-542.0601,-541.4776,-540.8674,-540.6478,-540.5714,-540.4854,-539.9611,-539.8752,-539.6461,-539.5028,-539.35,-539.1208,-539.1972,-539.0349,-538.8821,-538.6147,-538.7198,-538.6529,-538.4237,-538.3951,-538.1286,-538.3378,mV
	9.0,"OUT CONTINUITY",-532.9288,-514.2929,-506.9932,-504.3785,-502.8611,-501.144,-499.6544,-498.7291,-497.2889,-497.9374,-497.3271,-496.3054,-496.2767,-495.762,-496.1335,-495.0648,-495.0648,-495.2559,-494.9121,-494.6065,-494.4546,-494.1586,-494.235,-493.9294,-493.5093,-493.557,-493.3192,-493.4624,-493.2237,-493.1187,-493.1187,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.03118,4.817245,4.802438,4.966074,4.868451,4.944721,4.757846,4.775366,4.952343,4.795388,4.906084,4.891589,4.875997,4.79387,4.891671,4.983111,4.830953,4.91326,4.877842,4.889471,4.99507,4.860755,4.879363,4.89604,4.944872,4.882267,4.831437,4.928088,4.905032,4.879138,4.837965,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.258511,5.25725,5.257135,5.256524,5.256677,5.25618,5.25618,5.25618,5.256065,5.256065,5.255721,5.256065,5.256065,5.256027,5.256065,5.256065,5.256027,5.256027,5.25618,5.256065,5.256104,5.256065,5.256065,5.256104,5.256065,5.256065,5.256371,5.255989,5.256065,5.255989,5.256065,V
