
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-592.6232,-577.1271,-572.7094,-570.6095,-568.8829,-568.5106,-567.8802,-567.2805,-566.1823,-567.823,-566.4879,-565.8777,-565.6103,-565.2188,-565.2952,-565.0755,-564.9991,-565.3811,-562.2317,-564.5313,-564.2161,-563.9201,-563.9965,-563.9201,-563.7873,-565.1519,-563.9965,-563.7682,-563.6918,-563.625,-563.434,mV
	3.0,"BLANK CONTINUITY",-657.4382,-642.8474,-638.0583,-635.9966,-634.3273,-633.7161,-632.8003,-632.7048,-631.6448,-633.21,-631.874,-631.2733,-630.9487,-630.5667,-630.6431,-630.4235,-630.347,-630.5667,-627.5764,-629.58,-629.7327,-629.2361,-629.4081,-629.2648,-629.1312,-630.347,-629.2648,-628.9592,-628.9592,-628.8924,-628.8169,mV
	3.1,"BLANK @20MA CONTINUITY",-904.7307,-893.9387,-890.5792,-888.824,-887.4499,-886.8395,-886.4481,-885.9133,-885.3031,-886.3812,-885.2267,-884.3959,-884.3768,-883.6329,-883.7856,-883.3942,-883.1754,-883.3942,-881.1806,-882.5739,-882.3733,-882.1728,-882.2492,-882.0295,-882.1728,-882.8508,-882.0964,-881.7917,-881.9158,-881.658,-881.7631,mV
	4.0,"RBLANK CONTINUITY",-693.0972,-680.6437,-676.3024,-674.4612,-672.8674,-672.6382,-671.7129,-671.3405,-670.4819,-671.5983,-670.7293,-670.119,-669.8144,-669.5661,-669.3942,-669.4324,-669.1364,-669.4324,-666.8455,-668.6685,-668.6685,-668.4966,-668.3439,-668.2865,-668.2865,-669.2701,-668.1242,-668.3534,-667.8959,-668.0391,-667.8959,mV
	6.0,"EN CONTINUITY",-701.0444,-688.6595,-684.728,-682.6385,-681.3016,-680.5673,-680.1957,-679.6227,-678.8779,-680.1957,-678.8875,-678.4396,-678.2773,-677.7912,-677.9813,-677.753,-677.667,-677.8953,-675.5193,-677.0759,-676.9803,-676.5984,-676.8372,-676.5984,-676.6748,-677.5906,-676.9136,-676.4361,-676.5984,-676.2928,-676.1591,mV
	7.0,"FB CONTINUITY",-707.3709,-694.9948,-690.7872,-689.0033,-687.7142,-687.6673,-687.3235,-687.3617,-687.3235,-691.0927,-688.4399,-687.886,-687.1422,-687.1422,-686.827,-686.7124,-686.445,-686.5405,-684.2037,-685.7966,-685.8825,-685.6915,-685.4433,-685.4528,-685.0804,-686.0735,-685.0804,-685.1472,-684.8521,-684.9944,-684.5474,mV
	8.0,"DRVCC CONTINUITY",-569.9611,-555.4476,-550.4952,-547.8997,-546.1826,-545.6097,-544.7217,-544.1973,-543.3007,-544.5497,-543.2338,-542.8613,-542.3171,-542.0124,-541.9265,-541.8691,-541.64,-541.8691,-539.1972,-540.9907,-540.7528,-540.5809,-540.5714,-540.4854,-540.2571,-541.4776,-540.5522,-540.3431,-540.1235,-540.1807,-539.7892,mV
	9.0,"OUT CONTINUITY",-534.3785,-515.6088,-508.7293,-506.0574,-503.7769,-502.3646,-501.4965,-501.1727,-499.3584,-483.6149,-499.9504,-499.0442,-498.242,-498.0893,-498.2039,-497.5945,-497.5085,-497.8037,-494.1204,-496.4486,-496.7542,-496.1335,-496.0666,-496.1335,-495.8001,-497.203,-495.9911,-495.676,-495.6474,-495.5137,-495.3418,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.065319,4.87736,4.848011,4.930917,4.827692,4.854266,4.831133,5.027615,4.823274,4.912838,4.958646,4.939561,4.919858,4.948052,5.018082,5.018349,4.99831,4.858398,4.911946,4.903941,5.002525,4.947703,4.94284,4.977623,4.94242,4.85033,4.974189,4.91913,4.969665,4.940224,4.953784,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.182158,5.180902,5.180902,5.180328,5.180367,5.180328,5.180328,5.180328,5.179984,5.179984,5.18029,5.180328,5.180328,5.180328,5.180328,5.179984,5.180328,5.180328,5.180328,5.180175,5.180328,5.180328,5.179984,5.179984,5.179755,5.179984,5.179755,5.179984,5.180175,5.179984,5.179564,V
