
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-588.9495,-582.6238,-581.1732,-579.5699,-583.9302,-571.8596,-569.5409,-567.6615,-567.1182,-566.6407,-566.1346,-565.8777,-565.6867,-565.6198,-565.2665,-564.8463,-564.9132,-564.77,-564.8463,-564.8082,-563.625,-564.4644,-564.388,-563.9965,-563.9201,-563.8923,-564.092,-563.7778,-563.9965,-563.5486,-563.5868,mV
	3.0,"BLANK CONTINUITY",-650.5768,-644.2225,-642.8952,-641.0158,-645.5298,-633.8498,-631.4453,-629.6468,-628.9592,-628.7979,-627.7761,-628.0339,-627.6711,-627.4427,-627.1372,-626.7552,-626.6884,-626.7075,-626.6788,-626.5547,-625.6771,-626.4496,-626.0686,-625.9158,-625.6771,-625.6389,-625.9827,-625.572,-625.8394,-625.5338,-625.296,mV
	3.1,"BLANK @20MA CONTINUITY",-784.0806,-778.7367,-777.6395,-775.826,-779.5093,-770.0437,-768.0498,-766.752,-766.1409,-765.8362,-765.5306,-765.311,-765.225,-764.9194,-764.843,-764.6998,-764.3856,-764.6147,-764.5384,-764.4047,-763.6217,-764.3092,-764.0896,-763.9368,-763.7745,-763.6217,-763.9655,-763.4785,-763.5548,-763.3925,-763.1633,mV
	4.0,"RBLANK CONTINUITY",-686.3409,-680.911,-679.6705,-677.9908,-682.0274,-672.0175,-669.8803,-668.0201,-667.514,-667.2084,-666.5313,-666.4072,-666.2162,-666.2543,-665.9106,-665.5382,-665.6814,-665.3767,-665.4244,-665.3385,-664.5746,-665.0043,-665.0712,-664.6892,-664.5373,-664.7656,-664.6224,-664.3845,-664.6224,-664.0885,-664.1553,mV
	6.0,"EN CONTINUITY",-714.451,-707.2946,-707.9057,-719.3852,-727.0565,-728.1918,-724.6805,-731.4081,-716.0266,-692.6006,-689.4235,-687.2185,-686.3027,-685.1472,-684.1177,-683.2496,-682.4094,-681.76,-681.1689,-680.5004,-679.4222,-679.6896,-679.1644,-678.8112,-678.7347,-678.5064,-678.7738,-678.4301,-678.3632,-678.2773,-677.9813,mV
	7.0,"FB CONTINUITY",-728.1346,-717.8583,-713.7835,-711.9901,-715.7592,-708.2017,-705.7589,-704.4603,-704.8518,-704.6226,-704.5367,-706.2928,-706.2928,-708.5923,-711.2452,-702.7059,-693.4305,-691.2551,-691.2924,-690.8827,-689.5953,-689.3566,-688.8123,-688.6595,-688.1343,-688.0483,-688.2775,-688.0483,-688.2393,-687.1422,-687.6673,mV
	8.0,"DRVCC CONTINUITY",-566.9081,-559.9235,-558.3956,-556.6691,-561.249,-550.0273,-547.0603,-545.0272,-544.3502,-543.7772,-543.3197,-543.0142,-542.7372,-542.699,-542.2416,-541.9551,-541.8691,-541.6686,-541.7927,-541.6018,-540.791,-541.2581,-541.1816,-540.791,-540.791,-540.791,-540.8674,-540.7528,-540.7242,-540.4186,-540.3804,mV
	9.0,"OUT CONTINUITY",-532.4705,-524.1967,-522.0787,-519.3303,-525.7619,-511.0671,-506.5157,-504.6164,-503.8438,-502.9279,-502.1736,-501.9262,-501.4774,-501.0963,-500.7908,-500.5616,-500.2942,-500.256,-500.2273,-499.7976,-499.3393,-499.7881,-499.7308,-498.9582,-498.8914,-499.0719,-499.1196,-498.8914,-499.1196,-498.433,-498.4426,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.336983,5.243535,5.20367,5.174576,5.199902,5.129386,5.167729,5.197664,5.185899,5.249777,5.104641,5.252238,5.21967,5.179797,5.206586,5.088064,5.128532,5.200285,5.158199,5.155846,5.213139,5.237366,5.183165,5.214935,5.154578,5.110334,5.182185,5.166971,5.288885,5.217386,5.1926,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.260914,5.261257,5.260608,5.260455,5.260914,5.260455,5.260379,5.260035,5.260303,5.260187,5.260455,5.260035,5.260341,5.259844,5.260035,5.259691,5.260187,5.260187,5.259691,5.260341,5.260035,5.259691,5.260341,5.260187,5.260341,5.260035,5.260187,5.260035,5.260035,5.259691,5.259768,V
	15.1,"IVIN; PRE-STRESS @VIN=15V",261.7747,261.8188,262.2714,262.6139,261.9736,263.2905,263.9147,264.0495,264.4085,264.2432,264.605,263.8933,264.7638,264.5538,264.8218,264.8786,264.8334,264.6886,264.7033,264.7631,265.0681,264.9312,265.0565,265.0279,259.1375,265.0286,265.0143,264.942,264.9701,265.0023,265.0078,uA
	18.0,"IVIN ;ABS MAX @VIN=28V",283.3521,284.2385,282.0052,280.7714,282.8541,282.4911,283.4685,284.5446,283.95,286.3105,284.6671,283.8841,284.4233,282.2406,284.4916,285.6832,284.3188,285.2725,284.4848,284.8955,287.1102,285.1319,283.632,283.7349,284.7484,285.7677,285.238,285.7219,284.2657,283.9689,285.0439,uA
	80.0,"DRVCC VOLTAGE",9.998774,9.998545,9.998697,9.99885,9.998774,9.999461,9.999454,9.999461,9.999454,9.999454,9.998162,9.999072,9.998697,9.999072,9.99908,9.998774,9.999072,9.998697,9.999454,9.998774,9.998697,9.998774,9.998919,9.999767,9.999072,9.99908,9.998697,9.999454,9.999454,9.99908,9.99976,V
	80.1,"DRVCC HIGH STRESS @DRVCC=10V",0.2419241,0.242829,0.2422257,0.2417271,0.243846,0.2443078,0.246078,0.2444398,0.244468,0.2438178,0.2457765,0.2448913,0.2464457,0.245437,0.2462571,0.245437,0.2459555,0.245437,0.243535,0.24539,0.2468603,0.2453532,0.2463418,0.2479246,0.2471704,0.2468603,0.24524,0.243846,0.2459649,0.2449101,0.2459649,mA
	80.2,"DRVCC LOW STRESS @DRVCC=10V",0.2490547,0.2473213,0.248753,0.247736,0.2454936,0.2489886,0.2507495,0.2532746,0.2513998,0.2488284,0.2522566,0.2480659,0.2488284,0.2517006,0.2513717,0.2493563,0.2511172,0.2509381,0.2523698,0.2533407,0.2507023,0.248838,0.2508627,0.2511642,0.2519929,0.2504478,0.2522566,0.2525772,0.2536508,0.2530389,0.252153,mA
	90.0,"FB @ 9.3V STRESS",-0.4457004,-0.5344259,-0.4159651,-0.4052396,-0.4623846,-0.5666023,-0.4010686,-0.567794,-0.4153692,-0.4237113,-0.4100065,-0.4826438,-0.4338409,-0.3861721,-0.3855763,-0.4153692,-0.3778301,-0.5767319,-0.4034521,-0.3903432,-0.5481306,-0.4052396,-0.3855763,-0.477281,-0.4480839,-0.5344259,-0.5052864,-0.4415294,-0.4439129,-0.5558768,-0.5344259,uA
	100.0,"EN @ 9.3V STRESS",-0.4332451,-0.5963376,-0.5868615,-0.429074,-0.4201361,-0.481452,-0.4480839,-0.4826438,-0.4201361,-0.481452,-0.4392036,-0.4862189,-0.429074,-0.4225196,-0.5487265,-0.390939,-0.4153692,-0.5201829,-0.4534466,-0.4010686,-0.5005196,-0.5005196,-0.4052396,-0.6064672,-0.5576644,-0.4719183,-0.4862189,-0.5862656,-0.4243071,-0.4392036,-0.4623846,uA
	110.0,"IN @ 15V STRESS",-0.08792142,-0.1117589,-0.05991234,-0.04745528,-0.05991234,-0.1260615,-0.08374985,-0.04507153,-0.1260615,-0.04089996,-0.05693265,-0.07898234,-0.06646764,-0.05991234,-0.111163,-0.06885137,-0.04983904,-0.08792142,-0.09328488,-0.08553763,-0.05991234,-0.06229607,-0.06885137,-0.1784464,-0.1260615,-0.1587804,-0.1069914,-0.07481077,-0.07898234,-0.04507153,-0.07898234,uA
	110.1,"IN @ -15V STRESS",-0.1742748,-0.2266598,-0.149303,-0.1975164,-0.1641439,-0.1784464,-0.1784464,-0.1451315,-0.1712951,-0.149303,-0.1641439,-0.1695073,-0.3023439,-0.1522251,-0.1599723,-0.1987083,-0.1695073,-0.1599723,-0.1742748,-0.1981124,-0.1332127,-0.1695073,-0.1522828,-0.1641439,-0.1385762,-0.2361947,-0.1885774,-0.140364,-0.1552625,-0.1552048,-0.149899,uA
	120.0,"RBLANK @ 5V STRESS",135.2098,135.8219,135.9066,136.0478,135.3699,136.2832,136.3492,136.5742,136.4151,136.6128,136.3492,136.7343,136.6496,136.5648,136.6496,136.5742,136.5751,136.7343,136.6496,136.7343,136.6496,136.5931,136.5092,136.885,136.885,136.885,137.1109,136.5751,137.1109,136.6496,136.5092,uA
	130.0,"BLANK @ 5V STRESS",-0.02375289,-0.03188166,-0.02554073,-0.05331205,-0.02494955,-0.04134059,-0.03439419,-0.03321182,-0.02184584,-0.04134059,-0.02611762,-0.04710462,-0.04488769,-0.03779349,-0.02493525,-0.02184584,-0.03188166,-0.02376718,-0.03912365,-0.02892574,-0.02376718,-0.02715219,-0.0336552,-0.03439419,-0.02493525,-0.03542875,-0.05449442,-0.01888992,-0.03262064,-0.02848236,-0.01888992,uA
	150.0,"IVIN; POST-STRESS @VIN=7.5V",252.9863,253.5751,253.961,254.1575,253.6802,255.0059,255.5617,255.8045,255.9887,256.3004,256.5424,256.1926,256.5666,256.3049,256.5018,256.4457,256.7193,256.5817,256.7351,256.8499,256.639,256.6681,256.7729,256.8203,256.6173,256.8983,256.8658,256.8304,256.6257,256.8504,256.7489,uA
	150.1,"IVIN; POST-STRESS @VIN=25V",268.9641,268.912,268.5359,269.5392,267.7394,269.6079,270.1238,270.2212,270.6284,270.4875,270.1029,270.6987,271.2989,270.9148,270.7436,270.9522,270.9068,271.0575,270.5834,271.2559,270.298,271.546,271.4247,271.0493,271.2402,270.0067,270.7159,270.9397,271.2212,270.9625,271.115,uA
	160.0,"IVIN; SWITCHING @VIN=7.5V",3.235133,3.236965,3.229032,3.232197,3.246426,3.243032,3.241237,3.232999,3.248067,3.251572,3.237878,3.250087,3.243681,3.238221,3.239443,3.24738,3.235782,3.236965,3.23456,3.253748,3.245204,3.252527,3.246731,3.24856,3.24612,3.253099,3.246998,3.254512,3.252794,3.238145,3.248675,mA
	180.0,"IDRVCC; SWITHCING @DRVCC=9V",5.056318,5.157259,5.160007,5.172752,5.165421,5.164277,5.164202,5.167026,5.163055,5.17771,5.175043,5.158175,5.166184,5.159702,5.168628,5.162451,5.161308,5.163744,5.159475,5.169775,5.16443,5.168628,5.168628,5.16405,5.173974,5.168628,5.163368,5.175348,5.170461,5.163361,5.163063,mA
	185.0,"IDRVCC; MAX OUT CURRENT",117.4989,118.4399,118.4637,118.5222,117.2425,117.023,117.2866,118.1787,119.3999,116.6783,116.6378,117.4965,118.7512,116.6998,119.5324,116.6223,116.7774,118.5317,119.5217,118.0558,117.444,116.7571,119.5085,117.8913,117.7971,117.0994,119.5324,116.6616,117.2246,118.9515,117.128,mA
	190.0,"VFB @VIN=7.5V",1.223544,1.223502,1.223481,1.223481,1.223494,1.223469,1.223418,1.223392,1.223368,1.223395,1.223433,1.223376,1.223358,1.223361,1.223398,1.22337,1.223378,1.223373,1.22336,1.22336,1.22336,1.223356,1.223366,1.223372,1.223372,1.223376,1.223372,1.223364,1.223392,1.223365,1.223347,V
	200.0,"DRVCC @VIN=7.5V",5.260952,5.260952,5.260914,5.260455,5.260608,5.260341,5.260379,5.260341,5.260455,5.260187,5.260341,5.260264,5.260035,5.260341,5.260187,5.260341,5.260187,5.260035,5.260379,5.260341,5.260341,5.260187,5.260303,5.260187,5.260455,5.260187,5.260303,5.260455,5.260303,5.260035,5.260035,V
	200.1,"DRVCC @VIN=25V",5.269464,5.269353,5.269467,5.269464,5.269464,5.269009,5.269009,5.268856,5.269158,5.268856,5.269429,5.269009,5.269009,5.268856,5.269009,5.268894,5.268894,5.269161,5.268856,5.268856,5.269161,5.268856,5.269009,5.269161,5.269161,5.268932,5.269161,5.268856,5.269161,5.268932,5.268932,V
	200.2,"DRVCC LINE REG @VIN=7.5V AND 25V",8.511543,8.400917,8.553505,9.008408,8.85582,8.667946,8.629799,8.515358,8.703232,8.6689,9.088516,8.74424,8.974075,8.515358,8.821487,8.553505,8.707047,9.126663,8.477211,8.515358,8.820534,8.6689,8.706093,8.974075,8.706093,8.745193,8.858681,8.400917,8.858681,8.897781,8.897781,mV
	210.0,"VDRVCC @ DRVCC=0MA",5.26099,5.260876,5.260876,5.260608,5.260952,5.260455,5.260341,5.260341,5.260379,5.260341,5.260264,5.260187,5.260379,5.260608,5.260608,5.260303,5.260341,5.260455,5.260341,5.260455,5.260341,5.260341,5.260341,5.260341,5.260035,5.260187,5.260455,5.260264,5.260455,5.260341,5.260187,V
	210.1,"VDRVCC @ DRVCC=-40MA",5.263282,5.262933,5.262987,5.262852,5.263037,5.26262,5.262525,5.262261,5.262329,5.262324,5.262229,5.262251,5.2622,5.262326,5.262183,5.262196,5.262204,5.262165,5.2622,5.262068,5.26219,5.262124,5.262271,5.26207,5.262188,5.262111,5.262132,5.262203,5.262202,5.262106,5.262141,V
	210.2,"DRVCC LOAD REG",2.291679,2.057076,2.111435,2.243996,2.084732,2.164841,2.183914,1.9207,1.950264,1.983643,1.964569,2.063751,1.821518,1.718521,1.57547,1.893044,1.86348,1.709938,1.859665,1.612663,1.849174,1.783371,1.930237,1.729012,2.153397,1.923561,1.676559,1.93882,1.747131,1.765251,1.954079,mV
	220.0,"DRVCC @VIN=6V",5.257765,5.257201,5.257168,5.256968,5.257382,5.256728,5.256518,5.256385,5.256198,5.256322,5.25638,5.256561,5.256552,5.256495,5.256122,5.256222,5.256308,5.256079,5.256279,5.256145,5.256055,5.256188,5.256466,5.256083,5.256523,5.256298,5.256375,5.256294,5.256217,5.256236,5.256265,V
	220.1,"VIN @DV -1%",5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,5.599999,V
	220.2,"DRVCC @DV -1%",5.199822,5.198264,5.197481,5.196483,5.198612,5.194367,5.192595,5.191516,5.191215,5.19083,5.190354,5.190345,5.189818,5.189967,5.189963,5.189376,5.189488,5.189266,5.189298,5.189336,5.188985,5.188772,5.188966,5.188708,5.188726,5.188802,5.188626,5.188445,5.188746,5.188334,5.188377,V
	220.3,"DRVCC DROPOUT VOLTAGE",400.177,401.7353,402.5183,403.5168,401.3872,405.632,407.4049,408.4835,408.7849,409.1692,409.6451,409.6546,410.181,410.0323,410.0361,410.6235,410.511,410.7332,410.7018,410.6636,411.0146,411.2272,411.0336,411.2911,411.273,411.1977,411.3731,411.5543,411.253,411.665,411.622,mV
	230.0,"FB CURRENT @5V",0.05607203,0.05673706,0.05231066,0.05518532,0.05607203,0.05740209,0.05851048,0.06553023,0.0696611,0.05378136,0.05231066,0.05268012,0.05607203,0.05673706,0.05607203,0.05673706,0.05311633,0.05304958,0.05703263,0.05268012,0.05201509,0.05614592,0.05312347,0.05135006,0.05370747,0.05364073,0.05260623,0.05268012,0.05910162,0.05311633,0.05703263,uA
	240.0,"OUT HIGH @FB=1.2V",4.997965,4.997698,4.998233,4.997698,4.997698,4.997736,4.997965,4.998157,4.997698,4.997736,4.997698,4.997812,4.997698,4.997698,4.998271,4.997393,4.997965,4.997965,4.997812,4.998271,4.997812,4.997736,4.997698,4.997965,4.997812,4.997965,4.997965,4.997812,4.997965,4.998157,4.997736,V
	240.1,"FB UVLO(RISING)",1.084806,1.084806,1.084272,1.084702,1.084501,1.085045,1.08474,1.084501,1.084806,1.084702,1.084359,1.084663,1.084587,1.084806,1.084244,1.084501,1.084463,1.084129,1.084597,1.084663,1.084425,1.084463,1.084463,1.084196,1.083967,1.084272,1.083977,1.084435,1.084425,1.084415,1.084663,V
	240.2,"FB UVLO(FALLING)",0.9485558,0.9479733,0.9484031,0.9483935,0.9482502,0.9482789,0.9482502,0.9482598,0.9480115,0.9480879,0.9481739,0.9480593,0.9478683,0.9480115,0.9486226,0.9476296,0.9480879,0.9480879,0.9481261,0.9485176,0.9480115,0.9476305,0.9479065,0.9479733,0.9480593,0.9481739,0.9480784,0.9480879,0.9484031,0.9481261,0.9480115,V
	240.3,"HYSTERESIS",0.1362506,0.1368331,0.1358693,0.136308,0.136251,0.136766,0.1364895,0.1362414,0.1367949,0.1366136,0.1361853,0.1366041,0.1367188,0.1367949,0.1356211,0.1368717,0.1363752,0.1360414,0.1364705,0.1361458,0.1364135,0.1368327,0.1365566,0.1362228,0.1359079,0.1360985,0.1358984,0.1363475,0.1360219,0.1362893,0.1366519,V
	260.0,"IIN @IN=10V",0.06081416,0.05394174,0.05342446,0.06133143,0.0549024,0.05734102,0.05896676,0.05608476,0.05719322,0.05852337,0.0549763,0.0551241,0.0549024,0.0578583,0.05844947,0.05630645,0.05652814,0.05423733,0.05615866,0.05719322,0.05660204,0.0549763,0.05844947,0.05246379,0.05246379,0.05549358,0.05423733,0.06288326,0.05844947,0.05896676,0.05933624,uA
	260.1,"IIN @IN=-10V",-0.1128981,-0.1161496,-0.115854,-0.1128981,-0.1104596,-0.1145978,-0.115189,-0.1134893,-0.1134893,-0.1134893,-0.1164452,-0.1128242,-0.1128981,-0.115189,-0.1093582,-0.1153368,-0.1127503,-0.1134893,-0.1166669,-0.1128981,-0.1098755,-0.115854,-0.1140066,-0.1134893,-0.115854,-0.1116419,-0.1139327,-0.1099494,-0.1072152,-0.1140066,-0.1140066,uA
	270.0,"OUT LOW @IN=1.8V",-1.273117E-05,-1.273117E-05,-1.273117E-05,0.0001400802,-1.273117E-05,-1.273117E-05,-1.273117E-05,6.367454E-05,-0.0001655426,-0.0001655426,0.0001400802,-0.0001655426,-1.273117E-05,-0.0001655426,0.0001400802,-0.0001655426,-0.0001655426,0.0001018774,-0.0001655426,-0.0001655426,-0.0001655426,0.0001018774,6.367454E-05,0.0001018774,-1.273117E-05,-0.0001655426,0.0001018774,-1.273117E-05,-0.000509368,-1.273117E-05,-1.273117E-05,V
	270.1,"INH THRESHOLD @VIN=5V",2.302198,2.301091,2.300652,2.300958,2.301625,2.299489,2.298801,2.298514,2.29775,2.297655,2.298514,2.297276,2.297828,2.29775,2.297428,2.297923,2.297428,2.297562,2.297866,2.297142,2.297142,2.297752,2.297581,2.297142,2.297142,2.296817,2.297008,2.297352,2.296607,2.296988,2.297142,V
	270.2,"INL THRESHOLD @VIN=5V",1.318447,1.318466,1.319421,1.319517,1.319383,1.319593,1.319954,1.320202,1.319651,1.319803,1.320126,1.320508,1.319517,1.319803,1.320565,1.319803,1.320508,1.320202,1.319803,1.320202,1.319727,1.319593,1.320565,1.320279,1.320565,1.320413,1.320737,1.320889,1.319992,1.320336,1.320279,V
	270.3,"HYSTERESIS",0.9837513,0.982625,0.9812307,0.9814405,0.9822426,0.9798956,0.9788475,0.9783125,0.9780998,0.9778519,0.9783888,0.9767675,0.9783106,0.9779472,0.9768629,0.9781199,0.9769201,0.9773598,0.9780626,0.9769402,0.9774151,0.978159,0.9770155,0.9768629,0.9765768,0.9764042,0.9762707,0.9764624,0.976615,0.9766521,0.9768629,V
	290.0,"ISD @SD=9V",0.06088806,0.0549024,0.05896676,0.05018013,0.05017298,0.05187977,0.05719322,0.06081416,0.05630645,0.05719322,0.05719322,0.05593697,0.05246379,0.0578583,0.05549358,0.05475461,0.05379395,0.05896676,0.05136248,0.05719322,0.05867117,0.05312887,0.0522421,0.05630645,0.0549024,0.05187262,0.05549358,0.05076416,0.05719322,0.06288326,0.05246379,uA
	300.0,"VSD(RISING) THRESHOLD",0.646326,0.6457348,0.6464406,0.6462401,0.6463737,0.6459163,0.6458303,0.6453624,0.6452861,0.6453052,0.6455916,0.6452192,0.6450569,0.6450569,0.6458303,0.6450569,0.6457444,0.6457444,0.6453243,0.6456012,0.6452192,0.6444076,0.6453243,0.6452861,0.6454484,0.6454484,0.6453624,0.6453624,0.6453624,0.6448659,0.6451046,V
	300.1,"VSD(FALLING) THRESHOLD",0.5064247,0.5052893,0.5053657,0.5043353,0.5053657,0.5036391,0.5029993,0.5026937,0.5026183,0.5024559,0.5025418,0.5023509,0.5023795,0.5019403,0.5021503,0.5019593,0.5018925,0.5023795,0.5015392,0.5017779,0.5019307,0.5018448,0.5019307,0.5019307,0.5020835,0.5017779,0.5018448,0.5014819,0.5017015,0.5017015,0.5014819,V
	300.2,"HYSTERESIS",0.1399013,0.1404455,0.141075,0.1419048,0.1410081,0.1422772,0.142831,0.1426687,0.1426678,0.1428493,0.1430498,0.1428683,0.1426774,0.1431167,0.14368,0.1430976,0.1438519,0.143365,0.1437851,0.1438233,0.1432885,0.1425628,0.1433936,0.1433554,0.1433649,0.1436705,0.1435177,0.1438805,0.1436609,0.1431644,0.1436228,V
	310.0,"VEN(RISING) THRESHOLD",1.210949,1.210778,1.210949,1.210863,1.211169,1.210825,1.210673,1.210788,1.210863,1.210654,1.211102,1.210626,1.210645,1.210863,1.210863,1.210863,1.210958,1.210721,1.210788,1.210559,1.210559,1.210825,1.210949,1.210863,1.210635,1.210788,1.210721,1.21093,1.210559,1.210559,1.210721,V
	310.1,"VEN(FALLING) THRESHOLD",1.077208,1.076979,1.076607,1.077065,1.076979,1.077389,1.077084,1.076883,1.077122,1.077017,1.076674,1.077065,1.076893,1.077208,1.076893,1.076902,1.076749,1.076597,1.077122,1.076893,1.076816,1.076931,1.076777,1.076607,1.076368,1.076712,1.076511,1.076893,1.076864,1.077017,1.077198,V
	310.2,"HYSTERESIS",0.1337414,0.1337996,0.1343422,0.1337986,0.1341906,0.1334362,0.1335897,0.1339045,0.1337414,0.1336374,0.134428,0.1335611,0.1337519,0.1336555,0.1339703,0.1339607,0.1342096,0.1341238,0.133666,0.133666,0.1337433,0.133894,0.1341715,0.1342564,0.1342669,0.1340761,0.1342096,0.134037,0.1336946,0.1335421,0.133523,V
	320.0,"RONH @OUT=-100MA",5.163543,5.120407,5.129565,5.142066,5.116111,5.166207,5.186347,5.196938,5.203995,5.20771,5.21048,5.214585,5.216208,5.218119,5.221174,5.222702,5.222989,5.225376,5.225376,5.226809,5.229187,5.229282,5.230715,5.23186,5.232243,5.232911,5.233389,5.234907,5.233675,5.235957,5.235576,OHM
	320.1,"RONL @OUT=100MA",0.430816,0.3869639,0.3880622,0.3880383,0.3865126,0.3901132,0.3908773,0.3912832,0.3932865,0.3928089,0.3931671,0.3939312,0.3931671,0.393764,0.3938356,0.3934059,0.394528,0.3937401,0.393764,0.394528,0.3948862,0.394528,0.3952682,0.3946952,0.3951011,0.3952682,0.3940983,0.394146,0.394528,0.3941221,0.3952682,OHM
	320.2,"RONL @VIN=0V",8.761767,8.658613,8.646876,8.642007,8.654221,8.625982,8.614437,8.60461,8.604992,8.602605,8.596111,8.596494,8.593064,8.594497,8.591632,8.588481,8.588862,8.583611,8.584661,8.585616,8.585521,8.583993,8.583993,8.58237,8.580937,8.583801,8.579418,8.579037,8.58237,8.579705,8.582274,OHM
	340.0,"IPU @VIN=8V",4.744149,4.776312,4.778595,4.778508,4.793005,4.783464,4.781746,4.778499,4.780123,4.778213,4.778595,4.778222,4.779359,4.780218,4.780123,4.781651,4.780791,4.781651,4.780791,4.782414,4.778403,4.779359,4.773925,4.781555,4.77974,4.779359,4.778213,4.77869,4.777363,4.77698,4.775548,A
	340.1,"IPD @VIN=8V",8.274958,8.276485,8.267891,8.268751,8.280973,8.263794,8.252249,8.239367,8.245851,8.242031,8.238506,8.240417,8.239748,8.245851,8.238125,8.240417,8.2427,8.2427,8.247283,8.2427,8.24118,8.240417,8.243081,8.240417,8.228967,8.238984,8.240894,8.234973,8.231258,8.243464,8.23822,A
	360.0,"VRBLANK @VIN=5V",1.282237,1.283087,1.284566,1.284527,1.282228,1.284108,1.283163,1.285482,1.28469,1.285454,1.286752,1.286971,1.283802,1.285748,1.285262,1.285062,1.286819,1.285872,1.285138,1.285311,1.285463,1.284614,1.287734,1.287438,1.285224,1.285748,1.287313,1.285748,1.284919,1.287581,1.285635,V
	370.0,"IRBLANK @RBALNK=0V",-240.3362,-238.9607,-236.7189,-238.0566,-238.9419,-236.9828,-237.0959,-235.5131,-237.5381,-235.5131,-236.1155,-236.4926,-235.9562,-236.1155,-236.634,-236.2286,-236.2475,-235.0606,-234.5241,-236.2946,-236.0307,-235.9467,-236.2286,-235.202,-235.5131,-236.568,-235.8053,-235.843,-235.4282,-235.0229,-236.1155,uA
	380.0,"RON @BLANK=100MA",11.93313,12.02949,12.04915,12.08159,12.02472,12.15009,12.20181,12.23426,12.25257,12.26763,12.2827,12.2934,12.30447,12.30887,12.31402,12.32394,12.32718,12.33539,12.34111,12.34359,12.35313,12.35313,12.35598,12.35598,12.35371,12.35636,12.3577,12.36057,12.36057,12.36057,12.36801,OHMS
	430.0,"OUT TPLH",37.18289,42.92655,48.11274,48.08828,37.18213,48.10662,48.11274,48.13031,48.23111,48.11274,48.39988,48.48539,48.2036,48.43732,48.48234,48.47393,48.1929,48.47928,48.14254,48.48539,48.48616,48.47928,48.48539,48.48539,48.47928,48.48539,48.48234,48.47928,48.48539,48.47928,48.48539,nS
	430.1,"OUT TPHL",29.35053,29.35053,29.35053,29.35053,29.35282,29.3513,29.70409,29.72931,29.71938,29.71938,29.72778,29.72243,29.72243,29.72931,29.72931,29.72243,29.72931,29.72243,29.72854,29.72243,29.72243,29.71784,29.72243,29.72243,29.72243,29.72931,29.72931,29.72243,29.72931,29.72243,29.72626,nS
	440.0,"OUT RISE-TIME",23.41188,23.29808,23.13162,23.03005,23.02928,23.08424,23.37749,23.41257,23.4118,23.41792,23.4011,23.02386,22.99635,23.3515,23.40875,23.3454,23.72264,23.01163,23.07659,23.0101,23.00858,23.0208,23.00933,23.01163,23.01011,23.16747,23.00857,23.0101,23.311,23.01622,23.36984,nS
	440.1,"OUT FALL-TIME",20.28566,20.1918,19.84352,19.84887,19.71825,19.53192,19.59154,19.49218,19.50135,19.48836,19.49371,19.49829,19.49218,19.49217,19.50135,19.57243,19.54109,19.49524,19.73049,19.83817,19.90458,19.5495,19.55179,19.89235,19.90534,19.5495,19.89541,19.89846,19.80148,19.887,19.7946,nS
	450.0,"TBLANK @RBLANK=100K",91.57594,87.46526,82.50896,82.13505,91.51921,82.50066,82.50896,82.47701,82.37617,82.52692,82.23975,82.12192,82.40369,82.18439,82.15733,82.12265,82.42881,82.128,82.47917,82.11117,82.11401,82.11726,82.1363,82.12192,82.16034,82.1363,82.11782,82.16034,82.15426,82.16756,82.1363,nS
	460.0,"TBLANK @RBLANK=200K",188.947,182.3702,174.8011,175.0838,187.8815,176.0992,177.9919,176.0864,174.3917,176.8399,177.195,174.6615,176.0022,175.7793,174.7005,175.2114,177.1003,175.7517,176.0669,174.5969,175.7305,177.6074,174.4104,177.5617,175.7517,176.8545,176.8253,176.0714,177.6157,177.6325,176.0078,nS
