
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-592.3176,-577.2131,-573.7017,-570.1807,-568.9498,-567.6042,-567.5183,-567.0131,-566.507,-566.0773,-565.6867,-565.1614,-564.856,-564.9132,-564.77,-564.2639,-564.2639,-563.9965,-563.9965,-563.9305,-563.8064,-563.5868,-563.625,-562.8524,-563.1666,-563.0051,-563.0815,-563.0051,-562.6328,-562.9384,-563.243,mV
	3.0,"BLANK CONTINUITY",-657.0562,-643.0193,-639.317,-635.8438,-634.6988,-633.1719,-633.0859,-632.6666,-632.256,-631.7117,-631.2543,-630.4903,-630.4903,-630.4235,-630.223,-630.0224,-629.7614,-629.6468,-629.5417,-629.2648,-629.2648,-629.2553,-629.198,-628.5209,-628.5114,-628.5114,-628.54,-628.5114,-628.2822,-628.4254,-628.731,mV
	3.1,"BLANK @20MA CONTINUITY",-899.0535,-888.9586,-886.1425,-883.9003,-882.7266,-881.7249,-881.658,-881.257,-881.1901,-880.8081,-880.5694,-880.2656,-879.8073,-879.8932,-879.7309,-879.3871,-879.645,-879.5399,-879.5112,-879.3489,-879.1198,-878.901,-879.1866,-878.7482,-878.71,-878.8151,-878.5095,-878.5859,-878.4426,-878.7769,-878.7482,mV
	4.0,"RBLANK CONTINUITY",-693.1067,-681.1116,-677.667,-674.6991,-673.4785,-672.2563,-672.1703,-671.6842,-671.1208,-670.5679,-670.4246,-669.8907,-669.7285,-669.7285,-669.5756,-669.1172,-669.0887,-668.7354,-668.7354,-668.8022,-668.8022,-668.4966,-668.2961,-667.8959,-667.9819,-667.8864,-667.8672,-667.9819,-667.7145,-667.8864,-668.1719,mV
	6.0,"EN CONTINUITY",-701.9133,-689.8522,-686.3027,-683.478,-682.1324,-681.0638,-680.72,-680.2531,-679.8138,-679.6609,-679.3555,-678.8589,-678.5924,-678.2677,-678.2009,-677.753,-677.7052,-677.6766,-677.667,-677.6575,-677.2477,-677.1428,-677.3719,-676.7607,-676.8754,-676.8372,-676.6748,-676.5316,-676.2928,-676.4838,-676.5889,mV
	7.0,"FB CONTINUITY",-733.3257,-697.1805,-693.7065,-690.959,-689.8809,-689.1274,-688.8123,-688.4399,-687.886,-687.6664,-687.228,-686.8174,-686.9893,-687.2949,-687.4763,-687.7524,-687.1422,-686.6742,-686.6933,-686.6646,-686.5119,-686.3027,-685.9207,-685.6915,-685.6915,-685.5292,-685.8348,-685.6056,-685.3192,-685.4528,-685.9207,mV
	8.0,"DRVCC CONTINUITY",-569.6937,-555.4476,-551.2487,-547.8138,-546.1445,-544.8458,-544.6166,-543.8441,-543.3961,-542.976,-542.5463,-542.1747,-541.64,-541.5636,-541.3248,-540.791,-540.7528,-540.5809,-540.4473,-540.4473,-540.3804,-539.9611,-540.0757,-539.4646,-539.6461,-539.5028,-539.5314,-539.4264,-539.0349,-539.1972,-539.6364,mV
	9.0,"OUT CONTINUITY",-533.2717,-512.1643,-509.1295,-504.8264,-503.0044,-500.9053,-500.3802,-499.6544,-498.92,-498.433,-492.0978,-497.0502,-496.8974,-496.4772,-496.3722,-495.9911,-495.4564,-495.38,-495.2272,-495.1508,-494.9885,-494.8453,-494.7784,-493.8148,-494.0058,-493.6238,-493.5483,-493.6907,-493.557,-492.8513,-493.9294,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.154647,5.021855,5.003727,4.983809,5.128262,5.057377,5.024074,5.209177,5.114534,5.191031,5.09792,5.03602,5.104495,5.119389,5.068093,5.186705,5.150635,5.113858,5.016169,5.023037,5.116619,5.198621,5.114314,5.119912,5.08866,5.015765,5.133787,5.158777,5.15895,5.156538,5.137907,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.278934,5.277903,5.277369,5.277291,5.276489,5.276489,5.276795,5.276681,5.276222,5.276681,5.276795,5.27626,5.276337,5.276489,5.276222,5.276222,5.276489,5.276222,5.275916,5.276757,5.276222,5.276222,5.276757,5.276681,5.276681,5.276222,5.27626,5.276222,5.276222,5.275725,5.276337,V
	15.1,"IVIN; PRE-STRESS @VIN=15V",255.7666,257.6723,258.0974,259.1023,259.3165,259.7352,259.8755,259.6159,259.8253,260.0611,260.3026,259.9785,260.1701,260.3845,260.3119,260.399,260.3666,260.5394,260.4897,260.8474,260.6795,260.4767,260.4634,260.8439,256.8744,260.8055,260.6858,260.513,260.4986,260.6569,260.6639,uA
	18.0,"IVIN ;ABS MAX @VIN=28V",274.0158,273.8275,276.2987,276.5153,277.6233,275.8997,276.6955,277.2042,278.6731,276.6058,279.4352,276.9029,277.9893,278.0834,278.9502,278.9206,277.648,278.5663,279.0056,278.0308,276.0668,278.1518,278.7439,281.3777,277.4596,279.5153,277.8259,278.3791,278.6182,279.6741,278.0894,uA
	80.0,"DRVCC VOLTAGE",9.998697,9.998774,9.998774,9.998774,9.998774,9.999454,9.998774,9.999461,9.998545,9.998155,9.998774,9.998926,9.998926,9.999454,9.998545,9.999454,9.998774,9.998545,9.998162,9.998162,9.99885,9.999454,9.998162,9.998162,9.998545,9.998774,9.998919,9.99885,9.999461,9.998774,9.999454,V
	80.1,"DRVCC HIGH STRESS @DRVCC=10V",0.2363213,0.23925,0.2398532,0.2424237,0.2412944,0.2389106,0.2411719,0.2387598,0.2405404,0.2401171,0.2422634,0.2400134,0.2397778,0.2424237,0.2410211,0.2411436,0.2445991,0.2419241,0.2420372,0.2432437,0.2421881,0.2405215,0.2418213,0.2424614,0.2414255,0.2420372,0.2402293,0.2385807,0.2405498,0.242829,0.2420278,mA
	80.2,"DRVCC LOW STRESS @DRVCC=10V",0.2426405,0.2437706,0.2450703,0.2447593,0.2449194,0.2465681,0.245946,0.2496571,0.2462759,0.2480659,0.2455125,0.2468603,0.2484515,0.2468603,0.2493563,0.2456726,0.2469451,0.2466436,0.2447877,0.2491961,0.2473213,0.2448347,0.248376,0.2470112,0.2485928,0.2468603,0.2473213,0.248753,0.2467283,0.2457388,0.2468603,mA
	90.0,"FB @ 9.3V STRESS",-0.5094574,-0.4201361,-0.3766384,-0.4046438,-0.4201361,-0.4415294,-0.3677005,-0.4671514,-0.4052396,-0.4862189,-0.4243071,-0.477281,-0.5433637,-0.3963017,-0.4100065,-0.3694881,-0.5100533,-0.4064313,-0.5344259,-0.4225196,-0.4010686,-0.39511,-0.3957059,-0.4337833,-0.481452,-0.4010686,-0.5302548,-0.4064313,-0.4719183,-0.3957059,-0.5600479,uA
	100.0,"EN @ 9.3V STRESS",-0.4826438,-0.4392036,-0.4201361,-0.4999236,-0.4415294,-0.477281,-0.39511,-0.5284673,-0.4439129,-0.4457004,-0.4337833,-0.5481306,-0.6064672,-0.4010686,-0.4153692,-0.5433637,-0.4415294,-0.4480839,-0.5767319,-0.4153692,-0.4719183,-0.4254988,-0.5683898,-0.4243071,-0.5242962,-0.5791153,-0.4540425,-0.390939,-0.567794,-0.4338409,-0.4921775,uA
	110.0,"IN @ 15V STRESS",-0.04089996,-0.06467979,-0.0831539,-0.1117589,-0.05520248,-0.1004361,-0.07898234,-0.07898234,-0.05996998,-0.04507153,-0.102224,-0.1004361,-0.1552048,-0.1099712,-0.07361888,-0.04983904,-0.07361888,-0.05520248,-0.130233,-0.06885137,-0.1171224,-0.04447559,-0.1004361,-0.06467979,-0.1171224,-0.07183109,-0.04983904,-0.06467979,-0.1314249,-0.07898234,-0.1361925,uA
