
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-591.8697,-580.648,-577.2885,-575.1522,-574.3024,-573.6635,-573.0809,-572.7476,-572.3275,-572.0124,-571.8309,-571.5253,-571.1156,-571.0201,-570.8769,-570.7146,-570.1521,-570.4949,-569.7988,-569.8465,-569.8752,-570.0184,-569.9611,-569.8847,-569.3499,-569.5696,-569.6555,-569.3881,-569.5696,-569.3881,-569.1121,mV
	3.0,"BLANK CONTINUITY",-657.7438,-647.5229,-643.6973,-641.4933,-640.7294,-639.804,-639.1928,-638.8118,-638.1633,-638.0964,-637.8291,-637.5045,-637.1416,-636.9792,-636.7501,-636.6737,-636.1389,-636.2917,-635.9966,-635.7579,-635.7579,-635.8056,-635.9202,-635.691,-635.3099,-635.4141,-635.5287,-635.2335,-635.4523,-635.3864,-634.9566,mV
	3.1,"BLANK @20MA CONTINUITY",-915.2266,-908.2144,-906.0571,-900.7991,-899.5396,-898.7288,-897.2209,-896.8294,-895.9136,-895.5039,-895.3033,-894.9223,-894.483,-894.3876,-893.9387,-893.7764,-893.2321,-893.0602,-892.7173,-892.7556,-892.7937,-892.4796,-892.6409,-892.2504,-892.2504,-892.1835,-892.193,-891.8015,-891.8588,-891.6392,-891.41,mV
	4.0,"RBLANK CONTINUITY",-693.0972,-683.7644,-680.4249,-678.6688,-677.8953,-677.095,-676.7607,-676.226,-675.6817,-675.5671,-675.1478,-675.1469,-674.7755,-674.6513,-674.5367,-674.1938,-673.851,-674.2989,-673.7077,-673.6218,-673.6695,-673.7077,-673.364,-673.4785,-673.2112,-673.4785,-673.2112,-673.0966,-673.2494,-672.9342,-672.6669,mV
	6.0,"EN CONTINUITY",-703.2398,-694.0025,-690.6821,-688.5831,-687.8956,-687.4477,-686.7506,-686.5405,-686.1022,-685.6915,-685.7297,-685.3859,-684.9189,-685.0804,-684.6993,-684.7757,-684.3087,-684.2323,-683.9363,-683.7739,-684.0891,-683.9363,-684.0891,-683.8599,-683.6307,-683.5543,-683.7739,-683.5543,-683.478,-683.5066,-683.392,mV
	7.0,"FB CONTINUITY",-727.829,-700.692,-697.2952,-695.5391,-694.6328,-693.8593,-693.3828,-692.6484,-692.4096,-692.2473,-691.9035,-691.8653,-691.4165,-691.2264,-691.2264,-690.7203,-690.4911,-690.8063,-690.3289,-690.1951,-690.2715,-690.3097,-690.0337,-690.1092,-689.7291,-690.0051,-689.7472,-689.7004,-689.8522,-689.6622,-689.433,mV
	8.0,"DRVCC CONTINUITY",-570.1521,-559.0546,-555.1421,-552.7948,-551.7071,-550.9528,-550.4952,-549.8746,-549.5031,-549.0352,-548.7296,-548.5099,-548.0134,-547.9761,-547.7087,-547.5846,-547.1271,-547.2026,-546.6783,-546.5255,-546.8311,-546.6879,-546.6783,-546.5255,-546.3536,-546.3632,-546.1826,-546.1445,-546.0681,-545.9821,-545.7243,mV
	9.0,"OUT CONTINUITY",-534.5408,-520.142,-514.7599,-512.3076,-510.9429,-509.7597,-508.8907,-508.08,-507.1651,-507.2692,-506.7545,-506.5253,-505.7422,-505.8377,-505.3698,-505.0652,-504.6545,-504.54,-504.454,-504.2257,-504.0061,-504.0443,-504.3117,-503.7014,-503.4723,-503.7014,-503.3194,-502.9279,-503.1571,-503.2336,-502.7179,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",4.845339,4.786356,4.776554,4.828812,4.857043,4.762573,4.745249,4.832305,4.794383,4.935228,4.925075,4.83902,4.874622,4.816793,4.754121,4.833673,4.842555,4.845478,4.880744,4.876932,4.747666,4.830534,4.846358,4.83271,4.748273,4.797593,4.842153,4.815959,4.966949,4.947037,4.863078,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.257746,5.257135,5.256944,5.256677,5.256371,5.256677,5.256065,5.256104,5.256677,5.256027,5.256677,5.256371,5.256104,5.256677,5.256065,5.256371,5.256677,5.256371,5.256065,5.256371,5.25618,5.256104,5.256677,5.256677,5.25618,5.255989,5.256371,5.256371,5.256371,5.256715,5.256027,V
	15.1,"IVIN; PRE-STRESS @VIN=15V",252.3686,253.6694,254.5524,254.6005,254.8909,255.2446,255.1747,255.1798,255.2203,255.2583,255.6688,255.5561,255.5977,255.9766,255.907,255.5624,255.8113,256.0716,255.7253,255.7477,255.8446,255.6315,255.734,256.0508,256.2145,256.1929,255.8946,256.109,255.7028,256.0965,256.0699,uA
	18.0,"IVIN ;ABS MAX @VIN=28V",270.7548,272.769,269.4691,272.1546,270.9902,271.1033,272.5928,272.4207,274.2289,272.1394,273.6228,272.2724,273.068,272.9329,272.6444,271.946,272.9397,273.2827,273.8475,273.3564,273.6968,273.4694,272.2593,271.6365,275.5122,273.4966,275.1239,273.7357,274.0631,272.1464,273.4167,uA
	80.0,"DRVCC VOLTAGE",9.998162,9.998545,9.998162,9.999461,9.998767,9.998774,9.998774,9.997704,9.998774,9.99885,9.998545,9.999454,9.998774,9.998767,9.998774,9.998162,9.998774,9.998774,9.99885,9.998774,9.998162,9.998774,9.998774,9.998774,9.998697,9.999461,9.998774,9.998774,9.99908,9.998162,9.998767,V
	80.1,"DRVCC HIGH STRESS @DRVCC=10V",0.2339196,0.235407,0.2359349,0.2350309,0.2387127,0.2364712,0.2369331,0.2357464,0.2340893,0.2348895,0.236048,0.2367728,0.2373007,0.2380067,0.2369236,0.2360951,0.2370745,0.2374421,0.2364712,0.2373007,0.2396458,0.2369236,0.2357935,0.2357935,0.2375354,0.2358689,0.2377428,0.2345125,0.2352751,0.2352939,0.2371876,mA
	80.2,"DRVCC LOW STRESS @DRVCC=10V",0.2412567,0.2404178,0.2435444,0.2409174,0.2400512,0.2388069,0.2417554,0.2418864,0.243403,0.2446745,0.2414349,0.2424991,0.2429327,0.2410588,0.242009,0.2440063,0.2409174,0.2415574,0.2406912,0.2422634,0.2416046,0.2444398,0.2434313,0.2442324,0.2397118,0.2417459,0.2420561,0.2434313,0.2444491,0.242631,0.2433653,mA
	90.0,"FB @ 9.3V STRESS",-0.4010686,-0.3778301,-0.5100533,-0.5177994,-0.3677005,-0.4159651,-0.3843846,-0.4034521,-0.4457004,-0.4225196,-0.5005196,-0.5201829,-0.4320534,-0.4362243,-0.4052396,-0.5052864,-0.4719183,-0.4243071,-0.3939183,-0.3772343,-0.5791153,-0.4076231,-0.4010686,-0.4552342,-0.6338767,-0.3957059,-0.39511,-0.5242962,-0.4052396,-0.439146,-0.481452,uA
	100.0,"EN @ 9.3V STRESS",-0.4153692,-0.4528508,-0.5463431,-0.5534933,-0.4415294,-0.5725608,-0.4243071,-0.429074,-0.4862189,-0.4171568,-0.5939541,-0.4480839,-0.5814988,-0.5242962,-0.4332451,-0.4480839,-0.4439129,-0.4582135,-0.4915816,-0.4243071,-0.4719183,-0.5100533,-0.4427212,-0.5433637,-0.6148093,-0.4100065,-0.4480839,-0.4320534,-0.6678408,-0.4332451,-0.4415871,uA
