
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-591.374,-577.0221,-572.2415,-570.0375,-569.2736,-568.3481,-567.7084,-567.3569,-566.7457,-566.6025,-566.0305,-565.7917,-565.4193,-565.2952,-564.8463,-565.0755,-564.77,-564.6553,-564.6553,-563.9965,-563.4626,-563.625,-563.3099,-563.3863,-563.243,-563.0815,-562.8524,-562.8524,-562.8524,-562.7378,-562.7092,mV
	3.0,"BLANK CONTINUITY",-657.7056,-643.5541,-638.8118,-636.3681,-635.5,-634.6997,-633.8212,-633.5538,-633.0859,-632.5998,-632.3611,-631.8836,-631.4453,-631.4453,-630.9869,-631.1396,-630.8054,-630.6526,-630.6431,-630.2611,-629.6086,-629.7614,-629.3412,-629.5035,-629.1503,-629.198,-628.8933,-628.731,-628.9974,-629.0356,-628.7979,mV
	3.1,"BLANK @20MA CONTINUITY",-912.1641,-899.9597,-896.4857,-894.9604,-894.082,-893.8528,-893.1653,-892.7556,-892.4509,-892.0212,-891.8015,-891.8588,-891.2954,-891.4005,-890.9612,-890.9612,-890.7989,-890.5029,-890.6461,-890.4647,-889.8544,-889.7398,-889.7398,-889.7208,-889.4247,-889.2814,-889.2432,-889.2624,-889.0522,-889.1191,-889.1955,mV
	4.0,"RBLANK CONTINUITY",-693.0972,-680.6437,-676.4361,-674.3943,-673.6973,-672.7815,-672.1608,-671.7883,-671.1781,-671.1113,-670.6538,-670.3482,-670.0427,-669.7476,-669.3083,-669.5852,-669.0409,-669.2032,-669.2415,-668.6971,-668.4298,-668.086,-668.2865,-668.2101,-667.8959,-667.8672,-667.4089,-667.514,-667.6094,-667.6763,-667.4758,mV
	6.0,"EN CONTINUITY",-705.3388,-695.0807,-690.8063,-688.6309,-687.2949,-686.3687,-685.5961,-684.9189,-684.3851,-683.9268,-683.6212,-683.478,-682.944,-682.9822,-682.543,-682.3329,-682.2566,-682.0274,-682.0274,-681.9318,-681.3207,-681.4926,-680.9492,-681.0638,-681.1116,-680.806,-680.806,-680.5673,-680.5013,-680.5013,-680.5395,mV
	7.0,"FB CONTINUITY",-731.0262,-697.0469,-693.0972,-691.3792,-690.6821,-690.0337,-689.7291,-689.5953,-689.2707,-689.3948,-689.1274,-689.1083,-689.0033,-688.9556,-688.9651,-689.1943,-689.051,-689.433,-689.433,-689.0033,-689.051,-689.051,-689.2707,-689.1561,-689.2611,-689.2707,-688.8887,-688.8887,-688.8028,-688.7836,-688.4399,mV
	8.0,"DRVCC CONTINUITY",-569.8942,-555.6768,-550.4952,-548.0421,-546.9457,-545.9821,-545.3041,-544.693,-544.0828,-543.8441,-543.1287,-542.8709,-542.5463,-542.2789,-541.9456,-541.9265,-541.64,-541.5636,-541.4012,-541.0193,-540.5714,-540.5714,-540.3422,-540.1807,-540.114,-539.942,-539.6461,-539.6651,-539.6461,-539.5314,-539.5028,mV
	9.0,"OUT CONTINUITY",-534.4644,-516.2964,-509.3396,-506.0764,-504.244,-502.7083,-502.0112,-501.3915,-500.8767,-500.4184,-499.5685,-499.492,-498.7291,-498.2707,-497.8132,-498.1179,-497.5467,-497.4799,-497.1935,-496.8688,-496.0666,-494.3114,-495.676,-495.5137,-495.5614,-495.0363,-495.0553,-494.6074,-494.7498,-495.0363,-494.7498,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.022094,4.886365,4.913359,4.796264,4.797313,4.875905,4.833353,4.940663,4.951239,4.881437,4.906807,4.775122,4.799986,4.86963,4.847227,4.989741,4.968996,4.879046,4.911204,4.8712,4.800902,4.928529,4.846661,4.879839,4.855255,4.900486,4.943993,4.83236,4.995206,4.960305,4.862602,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.257746,5.257212,5.256409,5.256677,5.256065,5.256677,5.256677,5.256065,5.256065,5.25618,5.255989,5.256065,5.256065,5.256065,5.256104,5.256065,5.256065,5.256065,5.256065,5.256065,5.255721,5.256065,5.255989,5.255721,5.256371,5.256065,5.256065,5.255721,5.255721,5.256065,5.256065,V
