
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-593.921,-582.0986,-578.2052,-576.7165,-575.8398,-574.8848,-574.4551,-573.9968,-573.7017,-573.3961,-573.1573,-572.7667,-572.5471,-572.2033,-572.0124,-572.0314,-571.5922,-571.5922,-571.3726,-571.5445,-571.2484,-571.1156,-571.0201,-571.0201,-570.9151,-570.8769,-570.791,-570.791,-570.6382,-570.6764,-570.5714,mV
	3.0,"BLANK CONTINUITY",-663.335,-650.043,-644.4222,-642.8474,-642.0272,-640.8057,-640.2996,-639.804,-639.6226,-639.3361,-638.8118,-638.6017,-638.0964,-638.0583,-637.5522,-637.8291,-637.3611,-637.4854,-637.1798,-637.3611,-637.0652,-636.8932,-636.7692,-636.7501,-636.6737,-636.3108,-636.6068,-636.4827,-636.3012,-636.4158,-636.2917,mV
	3.1,"BLANK @20MA CONTINUITY",-1024.426,-951.792,-921.1522,-915.9897,-913.9289,-912.9557,-911.5634,-912.4696,-911.9931,-910.7326,-909.6162,-908.901,-908.3567,-907.8706,-907.2881,-906.8679,-906.4095,-906.8392,-906.0667,-906.1526,-906.2195,-906.4573,-905.9903,-905.7706,-905.9903,-906.2958,-905.7706,-905.7516,-905.2941,-905.17,-905.2368,mV
	4.0,"RBLANK CONTINUITY",-693.4687,-684.2705,-680.6437,-679.3363,-678.5064,-677.5906,-677.2286,-676.5984,-676.4456,-676.0063,-675.7581,-675.6817,-675.2233,-675.1096,-674.7755,-674.8423,-674.5376,-674.5845,-674.3466,-674.5845,-674.022,-674.1556,-674.041,-674.0028,-673.9742,-673.7355,-673.8596,-673.5645,-673.8596,-673.7833,-673.4785,mV
	6.0,"EN CONTINUITY",-701.7988,-692.6484,-689.3566,-687.6664,-686.9988,-686.2358,-685.5961,-685.4528,-684.9189,-684.6993,-684.5474,-684.0031,-683.9172,-683.6976,-683.478,-683.3347,-683.306,-683.0873,-682.8295,-682.8677,-682.944,-682.7053,-682.8295,-682.6385,-682.4761,-682.5526,-682.2566,-682.4094,-682.0656,-682.1707,-682.2566,mV
	7.0,"FB CONTINUITY",-741.4944,-701.4072,-697.5999,-695.7682,-694.6891,-693.7352,-693.5355,-692.9348,-692.7916,-692.8203,-692.5529,-692.3237,-691.9417,-691.4938,-691.6362,-691.7508,-691.4269,-691.7221,-691.7985,-691.4269,-691.3792,-691.3314,-690.663,-691.2933,-691.1023,-691.1023,-691.1882,-690.9877,-690.8827,-690.8063,-690.6535,mV
	8.0,"DRVCC CONTINUITY",-570.409,-559.5033,-555.4476,-553.5388,-552.4892,-551.5925,-551.0292,-550.4762,-550.0273,-549.6072,-549.4362,-548.9683,-548.806,-548.4717,-548.233,-548.1853,-547.9752,-547.7278,-547.5846,-547.6705,-547.4318,-547.3649,-546.9934,-547.1176,-546.9744,-546.9744,-546.7547,-546.6783,-546.707,-546.6783,-546.5065,mV
	9.0,"OUT CONTINUITY",-534.9515,-520.8763,-515.3423,-512.7755,-511.7823,-510.6469,-509.8075,-508.9576,-508.5002,-508.1182,-507.5557,-507.2701,-506.5253,-506.2866,-505.9427,-505.7613,-505.7613,-505.7613,-505.3039,-505.1797,-504.8456,-504.9792,-504.836,-504.6164,-504.6832,-504.092,-504.54,-503.9297,-504.0825,-504.1493,-504.0825,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.023683,4.94129,4.807154,4.956518,4.992993,4.775079,4.884043,4.821786,4.969303,4.958761,4.849854,4.929038,4.855405,4.897893,4.806391,5.006835,4.865621,4.931373,4.910761,4.912986,4.922678,4.919056,4.89071,4.879938,4.938315,4.837173,4.939638,4.925673,4.888104,4.996223,4.999198,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.183075,5.181509,5.181054,5.180978,5.180786,5.181203,5.180786,5.180786,5.180634,5.180978,5.181054,5.180367,5.180902,5.180786,5.180634,5.180786,5.180786,5.180634,5.180634,5.180902,5.180902,5.180443,5.180786,5.180634,5.180634,5.181054,5.180634,5.180902,5.180328,5.180328,5.180634,V
	15.1,"IVIN; PRE-STRESS @VIN=15V",250.6548,251.8459,252.8941,252.946,253.041,253.0729,253.6976,253.6646,253.3644,253.9062,253.8818,253.9249,253.9589,253.8606,254.1228,253.8799,254.2802,253.8266,254.4036,254.3437,254.0257,254.3328,254.2331,254.4157,254.2669,254.4091,254.2681,254.3435,254.6094,254.2017,254.5044,uA
	18.0,"IVIN ;ABS MAX @VIN=28V",270.3378,269.9091,269.7892,271.5671,272.7234,272.3818,274.0712,272.2817,270.563,272.7115,270.4794,272.5737,271.1234,273.4498,271.779,273.0752,273.3683,274.302,272.051,272.6386,274.0477,272.7737,272.9632,271.2926,273.0328,273.0694,273.6957,272.5383,272.6938,272.2759,273.5755,uA
	80.0,"DRVCC VOLTAGE",9.998767,9.999461,9.998162,9.998774,9.999461,9.998697,9.998697,9.998545,9.998774,9.998774,9.998774,9.99885,9.998162,9.998162,9.998774,9.999454,9.998774,9.998697,9.998774,9.998774,9.998774,9.998919,9.998774,9.998919,9.998774,9.998774,9.998774,9.998697,9.998774,9.99908,9.99908,V
	80.1,"DRVCC HIGH STRESS @DRVCC=10V",0.229907,0.2323926,0.2355673,0.2342391,0.2321296,0.2372158,0.2350771,0.237903,0.2333069,0.2337217,0.2337499,0.2379784,0.2364995,0.2354164,0.2364995,0.2346633,0.2330336,0.237508,0.2335991,0.2362356,0.2352939,0.2342203,0.2355673,0.2339102,0.2362356,0.2352939,0.2357275,0.2357181,0.2373384,0.2355673,0.2348235,mA
	80.2,"DRVCC LOW STRESS @DRVCC=10V",0.2390237,0.2406912,0.2433276,0.2421881,0.2411436,0.2377428,0.24007,0.2410022,0.24524,0.2389955,0.2427818,0.2392123,0.2429515,0.2407572,0.2382423,0.2450233,0.2440063,0.2403142,0.2403519,0.2414349,0.2435538,0.2413595,0.2418581,0.240267,0.2408326,0.2437706,0.239495,0.2429421,0.2408514,0.2440346,0.23925,mA
	90.0,"FB @ 9.3V STRESS",-0.3843846,-0.4034521,-0.4201361,-0.4225196,-0.5082657,-0.6529443,-0.4921775,-0.5624312,-0.3820011,-0.4100065,-0.4582135,-0.4010686,-0.4153692,-0.429074,-0.4623846,-0.5385969,-0.5725608,-0.5052864,-0.5100533,-0.4617887,-0.4010686,-0.4671514,-0.4100065,-0.4058355,-0.3820011,-0.4671514,-0.5189912,-0.4225196,-0.4052396,-0.4534466,-0.567794,uA
	100.0,"EN @ 9.3V STRESS",-0.4201361,-0.5624312,-0.4076231,-0.4338409,-0.515416,-0.4999236,-0.6195762,-0.477281,-0.4445087,-0.4153692,-0.4153692,-0.4320534,-0.4010686,-0.429074,-0.4987319,-0.5725608,-0.5344259,-0.5409803,-0.4415294,-0.5791153,-0.4480839,-0.4337833,-0.4201361,-0.4100065,-0.4534466,-0.529659,-0.5201829,-0.5576644,-0.5100533,-0.477281,-0.5981252,uA
	110.0,"IN @ 15V STRESS",-0.07361888,-0.06885137,-0.1314249,-0.06885137,-0.07361888,-0.1385762,-0.1361925,-0.1260615,-0.05520248,-0.04983904,-0.05991234,-0.1236777,-0.1171224,-0.08553763,-0.06646764,-0.1171224,-0.1361925,-0.1004361,-0.06229607,-0.08136607,-0.07361888,-0.06467979,-0.04983904,-0.08136607,-0.0640839,-0.1397681,-0.1314249,-0.1385762,-0.1236777,-0.06646764,-0.0909011,uA
	110.1,"IN @ -15V STRESS",-0.1784464,-0.1832139,-0.1784464,-0.1314249,-0.1123549,-0.1832139,-0.1832139,-0.2165864,-0.111163,-0.140364,-0.1903651,-0.121294,-0.221354,-0.1701033,-0.1314249,-0.1885774,-0.1975164,-0.140364,-0.1171224,-0.121294,-0.120698,-0.102224,-0.1069914,-0.130829,-0.1701033,-0.1885774,-0.1481112,-0.1832139,-0.1498414,-0.1314249,-0.1617601,uA
	120.0,"RBLANK @ 5V STRESS",128.9065,129.4894,129.4988,129.8848,129.9602,129.7718,129.9696,129.7247,130.3274,129.9602,129.9507,130.1108,129.8189,130.2615,129.8848,130.4027,130.1108,130.3933,129.9696,130.1108,130.1108,129.9696,130.3274,130.1014,130.2615,129.9884,129.8001,130.3933,130.3274,130.3933,130.1108,uA
