
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-589.0354,-576.2581,-571.8309,-570.324,-569.5696,-568.9975,-568.6633,-567.2137,-567.6234,-566.7361,-567.0991,-566.5166,-566.2969,-566.5166,-566.2205,-566.23,-566.0677,-565.7631,-565.5912,-565.6867,-565.6867,-565.4193,-565.2952,-565.3334,-565.1519,-565.0278,-565.1806,-565.0755,-564.6076,-564.2256,-564.684,mV
	3.0,"BLANK CONTINUITY",-651.7219,-639.1928,-634.737,-633.0095,-632.3992,-631.7499,-631.2447,-630.1179,-630.347,-629.6373,-629.7422,-629.3412,-629.1216,-629.1216,-628.9592,-628.7787,-628.6546,-628.4731,-628.0816,-628.053,-628.3872,-628.0435,-628.0435,-627.9766,-627.7292,-627.7388,-627.7761,-627.6719,-627.29,-626.9653,-627.29,mV
	3.1,"BLANK @20MA CONTINUITY",-787.8212,-778.05,-774.3286,-773.0872,-772.6011,-772.2096,-771.7139,-770.9604,-771.1037,-770.5308,-770.6358,-770.4161,-770.3493,-770.3493,-770.4926,-770.4161,-770.1774,-770.1965,-769.8718,-769.805,-770.0724,-769.7295,-769.6618,-769.8059,-769.424,-769.7295,-769.8059,-769.5958,-769.424,-769.2711,-769.4144,mV
	4.0,"RBLANK CONTINUITY",-687.3617,-676.3024,-672.3326,-670.9489,-670.1954,-669.5088,-669.2606,-668.3247,-668.0487,-667.4376,-667.8959,-667.4471,-667.0651,-667.3707,-667.132,-666.9887,-666.9887,-666.5981,-666.3785,-666.5122,-666.2925,-666.3785,-666.1493,-666.1493,-665.987,-666.0634,-666.0634,-666.0347,-665.5382,-665.1572,-665.8438,mV
	6.0,"EN CONTINUITY",-698.8212,-688.1343,-684.2705,-682.6768,-681.7886,-681.3398,-680.911,-679.9283,-680.2339,-679.6227,-679.5846,-679.1644,-679.0499,-678.9734,-679.0117,-678.9734,-678.6688,-678.5064,-678.3632,-678.2773,-678.5924,-678.0576,-677.9813,-678.1627,-677.858,-677.8857,-677.9813,-677.8953,-677.753,-677.4474,-677.4474,mV
	7.0,"FB CONTINUITY",-695.3767,-685.1186,-681.3303,-680.0334,-679.1644,-678.4396,-678.2487,-677.2477,-677.095,-676.5984,-676.9136,-676.3311,-676.0255,-676.3024,-675.9586,-675.8058,-675.8345,-675.4525,-675.3475,-675.4525,-675.3475,-675.3761,-675.1096,-675.081,-675.1096,-674.785,-674.8423,-675.0046,-674.3943,-674.2797,-674.6991,mV
	8.0,"DRVCC CONTINUITY",-567.442,-555.0753,-550.6099,-548.6532,-547.5846,-546.8407,-546.5065,-545.3041,-545.3041,-544.6166,-544.7217,-544.0446,-544.0063,-544.1115,-543.8441,-543.7008,-543.6244,-543.1956,-543.0142,-543.0142,-543.0905,-542.8709,-542.5558,-542.699,-542.5176,-542.403,-542.4794,-542.4794,-541.9742,-541.7927,-542.0792,mV
	9.0,"OUT CONTINUITY",-532.1744,-516.0004,-509.9507,-507.5939,-506.0574,-505.2275,-504.6545,-502.9279,-502.8229,-502.2404,-502.2118,-501.9071,-501.0295,-501.0963,-501.1727,-500.8767,-500.6857,-500.447,-499.6544,-499.769,-499.9504,-499.6544,-499.4252,-499.3393,-499.3107,-499.1196,-499.3393,-499.0251,-498.6526,-498.0893,-498.7195,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.149324,4.975304,5.026434,5.0607,5.106467,5.128642,5.074842,5.006112,5.109434,5.13908,5.088346,5.105519,5.041077,5.084316,5.088576,4.98624,5.037695,5.092601,5.050489,5.111067,5.107301,5.101152,5.157932,5.169559,5.095142,5.090905,5.029841,5.015521,5.08384,5.122658,5.088221,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.274693,5.273777,5.27328,5.273166,5.273166,5.272593,5.272822,5.27252,5.272822,5.272669,5.272406,5.272673,5.27252,5.27252,5.272516,5.27252,5.272482,5.272516,5.272554,5.272406,5.272669,5.27252,5.272402,5.272252,5.272669,5.272252,5.27252,5.27252,5.27252,5.272252,5.27252,V
	15.1,"IVIN; PRE-STRESS @VIN=15V",255.9884,257.6015,258.2008,258.6546,258.8539,258.9021,258.8697,259.1279,259.0192,259.3445,259.2048,258.9119,259.4071,259.2972,259.466,259.6453,259.3687,259.5563,259.7091,259.3077,259.5489,259.9461,259.5826,259.5046,259.6565,259.8481,259.9135,259.7477,259.7906,259.8111,259.7328,uA
	18.0,"IVIN ;ABS MAX @VIN=28V",276.4801,275.4771,273.1169,277.8752,274.3034,277.3139,276.7909,275.763,275.6524,276.0654,277.6501,275.8217,277.4361,277.6701,278.0175,277.7386,276.2633,277.6689,275.875,277.0547,274.5443,278.936,278.167,276.9569,280.4864,277.2098,277.2487,276.593,277.2463,276.1185,276.8838,uA
	80.0,"DRVCC VOLTAGE",9.998162,9.999461,9.99976,9.999454,9.99976,9.998767,9.99999,9.999454,9.99885,9.998545,9.999767,9.998774,9.99885,9.999072,9.998774,9.998774,9.998697,9.998162,9.999461,9.999454,9.998774,9.999454,9.999454,9.998767,9.999461,9.998774,9.998774,9.999072,9.998774,9.998774,9.999531,V
	80.1,"DRVCC HIGH STRESS @DRVCC=10V",0.2395987,0.2406912,0.2397778,0.2405404,0.2397495,0.2391086,0.2412567,0.2423294,0.2402293,0.2406912,0.2397778,0.2433286,0.2429515,0.2403142,0.2403896,0.2435538,0.241219,0.2403896,0.2392123,0.2387315,0.2414255,0.2410588,0.2391463,0.2413595,0.2426405,0.2402293,0.2431023,0.2423389,0.2425651,0.2403142,0.2402482,mA
	80.2,"DRVCC LOW STRESS @DRVCC=10V",0.2436293,0.2420278,0.2467849,0.2461439,0.2450233,0.2455783,0.246719,0.2462571,0.2471988,0.2461816,0.2462571,0.2443644,0.2462289,0.2452778,0.2465681,0.2435538,0.2455783,0.2461816,0.2488568,0.2475474,0.2474345,0.2461157,0.2458047,0.2486683,0.2473213,0.2469828,0.2452778,0.2469828,0.2477737,0.2477737,0.246719,mA
	90.0,"FB @ 9.3V STRESS",-0.429074,-0.4243071,-0.4719183,-0.4225196,-0.4153692,-0.390939,-0.4338409,-0.3778301,-0.4153692,-0.6106383,-0.4623846,-0.3939183,-0.4052396,-0.390939,-0.4100065,-0.4623846,-0.5534933,-0.5725608,-0.4100065,-0.5201253,-0.4862189,-0.4153692,-0.3772343,-0.5005196,-0.4915816,-0.4153692,-0.4159651,-0.4838354,-0.3861721,-0.4320534,-0.4903899,uA
	100.0,"EN @ 9.3V STRESS",-0.439146,-0.429074,-0.3957059,-0.4052396,-0.4457004,-0.4350326,-0.4153692,-0.4153692,-0.4237113,-0.5493224,-0.5433637,-0.429074,-0.4439129,-0.4052396,-0.5385969,-0.4338409,-0.5576644,-0.5582603,-0.4338409,-0.4445087,-0.4445087,-0.5385969,-0.4617887,-0.5475348,-0.5600479,-0.429074,-0.5844781,-0.4915816,-0.5844781,-0.4350326,-0.4713224,uA
	110.0,"IN @ 15V STRESS",-0.05520248,-0.06467979,-0.07600266,-0.07481077,-0.04507153,-0.08792142,-0.04983904,-0.05520248,-0.1046077,-0.07957829,-0.0980524,-0.111163,-0.05520248,-0.06527574,-0.07361888,-0.05514484,-0.1117589,-0.07302293,-0.0843458,-0.06467979,-0.05996998,-0.1171224,-0.0640839,-0.1260615,-0.1236777,-0.07898234,-0.04983904,-0.07361888,-0.07898234,-0.03076901,-0.08374985,uA
	110.1,"IN @ -15V STRESS",-0.140364,-0.1599723,-0.1552048,-0.1450738,-0.140364,-0.2076474,-0.140364,-0.1641439,-0.1933449,-0.2124149,-0.1427477,-0.2076474,-0.2189702,-0.1587804,-0.1641439,-0.1957286,-0.2076474,-0.2350029,-0.1975164,-0.1498414,-0.1575885,-0.149899,-0.1641439,-0.2082433,-0.2159905,-0.1981124,-0.1510333,-0.1695073,-0.2124149,-0.140364,-0.1361925,uA
	120.0,"RBLANK @ 5V STRESS",132.5289,132.802,133.2352,133.2719,133.5732,133.3378,133.5356,133.6015,133.7239,134.0158,133.6015,133.7521,133.6391,133.5356,133.7333,133.6391,133.5732,133.9405,133.705,134.7776,133.705,133.7145,134.3256,133.884,133.9405,133.9028,133.6015,133.7333,133.7992,133.7333,133.705,uA
