
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-590.6483,-589.8462,-577.0889,-573.1573,-572.0983,-570.982,-570.3335,-569.9611,-569.3499,-569.0834,-568.7779,-568.6442,-568.1286,-568.2718,-568.3673,-566.9845,-567.7753,-567.4706,-567.3187,-567.2137,-567.2137,-566.9463,-567.0513,-566.9081,-566.8317,-566.6694,-566.6598,-566.8317,-566.9845,-567.5183,-566.6694,mV
	3.0,"BLANK CONTINUITY",-652.0083,-651.0248,-638.7067,-634.737,-633.5824,-632.5616,-631.9504,-631.2447,-630.8054,-630.4999,-630.1561,-629.9556,-629.5895,-629.4176,-629.8091,-628.4254,-629.1025,-628.8933,-628.9592,-628.6259,-628.5209,-628.2822,-628.2822,-628.3204,-628.3585,-628.053,-628.0148,-628.2822,-628.2822,-628.8074,-628.0148,mV
	3.1,"BLANK @20MA CONTINUITY",-778.8608,-777.9641,-767.9734,-764.9863,-764.0037,-763.2502,-762.7163,-762.2579,-761.7996,-761.7614,-761.3326,-761.3517,-760.9506,-760.8074,-761.1129,-759.8907,-760.5018,-760.3395,-760.1963,-760.1963,-760.1963,-759.8907,-759.8143,-759.9957,-759.7283,-759.5851,-759.7283,-759.9479,-759.8907,-760.2535,-759.7952,mV
	4.0,"RBLANK CONTINUITY",-687.6291,-686.827,-676.0637,-672.3326,-671.3405,-670.3292,-669.8525,-669.5088,-668.6971,-668.5921,-668.4775,-668.1242,-667.6763,-667.8864,-667.7813,-666.7604,-667.2943,-666.9887,-667.0651,-667.0651,-666.6745,-666.7604,-666.5599,-666.5599,-666.5408,-666.4931,-666.2066,-666.3785,-666.665,-667.132,-666.2257,mV
	6.0,"EN CONTINUITY",-701.7988,-701.0253,-690.3766,-687.1707,-686.1022,-685.2236,-684.4711,-683.9172,-683.5543,-683.3252,-683.0014,-682.944,-682.6768,-682.4379,-682.6385,-681.4162,-682.247,-681.9605,-681.7218,-681.76,-681.7886,-681.3494,-681.5594,-681.5213,-681.2539,-681.0352,-681.2539,-681.4544,-681.3303,-681.76,-681.3016,mV
	7.0,"FB CONTINUITY",-700.6538,-699.9662,-689.8809,-686.3696,-685.2236,-684.0986,-683.6212,-683.1542,-682.543,-682.2566,-682.1324,-681.8268,-681.3303,-681.4736,-681.4831,-680.4154,-680.9492,-680.6437,-680.5586,-680.5673,-680.2339,-680.1957,-680.1003,-679.9283,-680.1003,-680.0334,-679.5369,-679.8138,-680.0334,-680.5673,-679.7278,mV
	8.0,"DRVCC CONTINUITY",-568.6633,-567.7371,-555.524,-551.3729,-549.8746,-548.7296,-547.9092,-547.5559,-546.8311,-546.3632,-546.3354,-546.0681,-545.5333,-545.457,-545.6097,-544.312,-544.9891,-544.6835,-544.502,-544.6166,-544.312,-544.0828,-544.1496,-544.0828,-543.8441,-543.8918,-543.5871,-543.8441,-544.0063,-544.5211,-543.7581,mV
	9.0,"OUT CONTINUITY",-534.1493,-533.0148,-517.2131,-511.4777,-509.8839,-508.5002,-507.5748,-506.3725,-505.981,-505.5703,-505.0079,-504.8073,-504.3117,-504.0061,-504.0825,-502.3932,-503.3194,-503.1476,-502.5555,-502.842,-502.6224,-502.2118,-502.2404,-502.3168,-502.2404,-501.8689,-501.487,-501.7065,-502.0112,-502.5651,-501.783,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",4.963213,5.003385,4.851381,4.836749,4.875896,4.954483,4.906103,4.867991,4.927052,4.883355,4.836894,4.783683,4.883903,4.949708,4.959355,4.997697,4.867397,4.969995,4.956275,4.833563,4.899387,4.829847,4.868172,4.890181,5.000147,4.913857,4.908478,4.895619,4.965547,4.903944,4.911208,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.177883,5.177883,5.177272,5.176626,5.176588,5.17632,5.17632,5.17632,5.176588,5.17632,5.17632,5.176512,5.1759,5.176015,5.176626,5.176015,5.176167,5.17632,5.176015,5.176015,5.176015,5.176015,5.17632,5.176053,5.176015,5.17632,5.176015,5.176015,5.176167,5.17632,5.176015,V
	15.1,"IVIN; PRE-STRESS @VIN=15V",250.6829,250.3691,251.6825,252.4299,252.7123,253.0895,253.2853,253.3742,253.3402,253.3812,253.3936,253.3298,253.509,253.4613,253.6627,253.4306,253.7915,253.8387,253.8366,253.7421,253.8457,253.8255,253.7046,253.8022,253.7172,253.7346,253.8583,253.7395,253.7162,254.065,253.7742,uA
	18.0,"IVIN ;ABS MAX @VIN=28V",269.8682,269.9718,270.0496,270.5946,269.6363,271.4691,270.8265,270.1529,269.793,270.5255,271.3939,271.1609,271.9332,270.3427,271.1208,271.1504,273.9052,270.8477,269.2982,272.1064,272.2994,268.366,273.2342,271.6179,269.7161,271.7956,270.4687,271.6743,270.1436,272.0864,271.1022,uA
	80.0,"DRVCC VOLTAGE",9.998697,9.999454,9.999461,9.999454,9.999454,9.998774,9.998774,9.99976,9.998774,9.998545,9.99908,9.998697,9.998767,9.998774,9.998774,9.99976,9.999454,9.998774,9.999454,9.999913,9.998774,9.998774,9.999454,9.99885,9.998774,9.999461,9.99885,9.998545,9.999454,9.998774,9.999913,V
	80.1,"DRVCC HIGH STRESS @DRVCC=10V",0.232534,0.2312728,0.2346633,0.2325152,0.2343711,0.2345408,0.237903,0.235407,0.2360103,0.2363204,0.2373007,0.2368388,0.2353976,0.2340233,0.2367728,0.2360103,0.2357935,0.2358689,0.2355673,0.2366126,0.2348895,0.2373384,0.2342863,0.2353316,0.2335237,0.2348235,0.2351902,0.2360951,0.2342863,0.2355767,0.2375269,mA
	80.2,"DRVCC LOW STRESS @DRVCC=10V",0.2388824,0.2404555,0.2398155,0.2414066,0.2400794,0.2393442,0.2403896,0.2433662,0.2415951,0.2420278,0.2435444,0.2413595,0.2437047,0.2440063,0.2429515,0.2441569,0.2430269,0.2435538,0.2404178,0.2432154,0.244336,0.2439686,0.2447215,0.2432531,0.2432805,0.2427253,0.2426405,0.2418968,0.2433286,0.2419618,0.2421598,mA
	90.0,"FB @ 9.3V STRESS",-0.4010686,-0.3861721,-0.4034521,-0.477281,-0.5100533,-0.481452,-0.3820011,-0.3790219,-0.4153692,-0.5767319,-0.3820011,-0.3963017,-0.429074,-0.4623846,-0.6332809,-0.5558768,-0.4225196,-0.5767319,-0.477281,-0.4237113,-0.4100065,-0.4534466,-0.5481306,-0.4415294,-0.4153692,-0.4034521,-0.4052396,-0.5052864,-0.5242962,-0.4623846,-0.4243071,uA
	100.0,"EN @ 9.3V STRESS",-0.4439129,-0.5624312,-0.4052396,-0.5201829,-0.5582603,-0.5005196,-0.4338409,-0.4891982,-0.4623846,-0.5052864,-0.4010686,-0.4987319,-0.5791153,-0.4439705,-0.5272756,-0.5749443,-0.4719183,-0.5100533,-0.4337833,-0.4034521,-0.4862189,-0.4153692,-0.5177994,-0.4480839,-0.4862189,-0.4225196,-0.4243071,-0.511245,-0.5624312,-0.567794,-0.5534933,uA
	110.0,"IN @ 15V STRESS",-0.224276,0.9791929,0.3568986,0.759407,0.7647705,0.8809208,0.9934374,1.019659,1.026214,0.998205,0.8457605,0.9219829,0.9219829,0.941053,0.9029706,0.9571431,0.879729,0.9339017,0.9053543,0.9434367,0.9356895,0.9243667,0.9356895,1.014295,0.9052966,0.888668,0.8999909,0.759407,0.8315156,0.8309196,0.7975471,uA
	110.1,"IN @ -15V STRESS",-5.485154,-5.485154,-5.589924,-5.471506,-5.55661,-5.585752,-5.485751,-5.613762,-5.531042,-5.532772,-5.645346,-5.50482,-5.601843,-5.561378,-5.738256,-5.55661,-5.690042,-5.670377,-5.54767,-5.645346,-5.750175,-5.611379,-5.800175,-5.662033,-5.524429,-5.468526,-5.47562,-5.516144,-5.573296,-5.566741,-5.503629,uA
	120.0,"RBLANK @ 5V STRESS",128.9347,128.897,129.3208,129.6588,129.9602,129.8848,129.9602,130.1861,130.0261,130.2615,130.2615,129.8378,130.3274,130.2615,130.4027,130.3274,130.5534,130.1202,130.3274,130.1391,130.4875,130.4027,130.1861,130.3933,130.6278,130.2615,130.1861,130.6287,130.7973,130.4875,130.2615,uA
	130.0,"BLANK @ 5V STRESS",-0.03321182,-0.01874212,-0.02598412,-0.02966472,-0.03542875,-0.02848236,-0.02494955,-0.0302559,-0.02155025,-0.02966472,-0.02611762,-0.02419627,-0.02022008,-0.02347159,-0.03764569,-0.03084709,-0.03779349,-0.02552644,-0.02376718,-0.02494955,-0.02626541,-0.02125465,-0.01888992,-0.04267075,-0.02892574,-0.02376718,-0.02125465,-0.04725242,-0.02818676,-0.04488769,-0.03794128,uA
	150.0,"IVIN; POST-STRESS @VIN=7.5V",243.4803,243.0599,244.9534,245.4405,245.8936,246.054,246.2773,246.38,246.4789,246.4575,246.6608,246.5965,246.8091,246.5178,246.5951,246.8284,246.6615,246.8352,246.98,246.9236,247.0952,247.0524,247.0037,246.9262,246.9358,246.9546,246.9304,246.9409,246.9753,246.8689,246.9839,uA
	150.1,"IVIN; POST-STRESS @VIN=25V",256.804,255.5058,257.6089,257.2537,257.8751,258.1338,258.5044,257.7049,258.1563,258.3277,257.8516,257.8781,258.5889,258.4697,258.8432,258.7582,259.3605,258.3428,259.0024,259.0888,259.1195,258.9254,259.0895,259.1652,258.0753,258.7107,258.3964,259.0173,258.9985,258.9223,259.0539,uA
	160.0,"IVIN; SWITCHING @VIN=7.5V",3.178943,3.178065,3.18005,3.183253,3.186265,3.186914,3.197406,3.197138,3.18268,3.194504,3.188403,3.20038,3.171617,3.200456,3.189205,3.186609,3.191152,3.189319,3.180809,3.189968,3.195497,3.182948,3.186609,3.193133,3.18268,3.197902,3.192446,3.175927,3.190846,3.197406,3.18764,mA
	180.0,"IDRVCC; SWITHCING @DRVCC=9V",5.16405,5.157031,5.156953,5.164355,5.169239,5.166184,5.160924,5.159475,5.171072,5.15642,5.163744,5.158864,5.154517,5.145975,5.150776,5.153068,5.162451,5.163055,5.154289,5.153295,5.153068,5.160697,5.158175,5.166184,5.152378,5.166795,5.16649,5.149707,5.160007,5.164888,5.150929,mA
	185.0,"IDRVCC; MAX OUT CURRENT",119.1602,118.54,119.5705,118.8358,117.4631,119.5705,119.5527,116.9705,118.6259,116.6807,118.3695,119.5812,119.5049,116.6998,116.8178,117.5299,119.2186,119.1793,117.84,118.7452,119.2568,116.8095,118.1405,118.9216,119.029,119.184,117.1578,119.5657,119.5419,116.6998,116.8143,mA
	190.0,"VFB @VIN=7.5V",1.204195,1.204181,1.20406,1.203982,1.203971,1.203931,1.203958,1.203935,1.203958,1.20392,1.203891,1.203858,1.203925,1.203879,1.203879,1.203905,1.203877,1.203862,1.203881,1.203885,1.203885,1.203864,1.203866,1.203894,1.20389,1.203881,1.20386,1.203864,1.203857,1.203894,1.203867,V
	200.0,"DRVCC @VIN=7.5V",5.177921,5.177539,5.177122,5.176626,5.17632,5.176775,5.176626,5.17697,5.176779,5.176588,5.176512,5.17632,5.176775,5.176588,5.176626,5.176626,5.17632,5.17632,5.17632,5.176626,5.176626,5.176588,5.176626,5.17632,5.17632,5.176167,5.176167,5.176588,5.176588,5.17632,5.176167,V
	200.1,"DRVCC @VIN=25V",5.186739,5.186472,5.185937,5.185937,5.185516,5.185822,5.185822,5.185214,5.185249,5.185516,5.185669,5.185249,5.185516,5.185516,5.185516,5.185516,5.185211,5.185211,5.185516,5.185516,5.185516,5.185326,5.185249,5.185822,5.185516,5.185516,5.185516,5.185326,5.185211,5.185211,5.185326,V
	200.2,"DRVCC LINE REG @VIN=7.5V AND 25V",8.817673,8.933067,8.814812,9.310722,9.196281,9.047508,9.196281,8.244514,8.470535,8.928299,9.157181,8.929253,8.741379,8.928299,8.890152,8.890152,8.891106,8.891106,9.196281,8.890152,8.890152,8.737564,8.623123,9.502411,9.196281,9.348869,9.348869,8.737564,8.623123,8.891106,9.158134,mV
	210.0,"VDRVCC @ DRVCC=0MA",5.177883,5.177883,5.177276,5.17697,5.177122,5.176966,5.177276,5.177122,5.176626,5.176626,5.176626,5.176512,5.17632,5.176512,5.17697,5.176626,5.176588,5.176626,5.17632,5.17632,5.176626,5.176626,5.176626,5.176626,5.176626,5.176626,5.17632,5.176626,5.17632,5.176626,5.176626,V
	210.1,"VDRVCC @ DRVCC=-40MA",5.180028,5.179926,5.179296,5.178985,5.178767,5.178763,5.178667,5.17865,5.178671,5.178405,5.178438,5.178488,5.178458,5.178556,5.178392,5.178393,5.178477,5.178332,5.178307,5.178442,5.178376,5.178328,5.17841,5.178364,5.17843,5.178321,5.178269,5.178349,5.178342,5.178374,5.178431,V
	210.2,"DRVCC LOAD REG",2.144814,2.04277,2.020836,2.015114,1.645088,1.797676,1.391411,1.527786,2.044678,1.778603,1.811981,1.976013,2.138138,2.044678,1.422882,1.767159,1.889229,1.706123,1.986504,2.121925,1.749992,1.701355,1.783371,1.737595,1.803398,1.694679,1.94931,1.723289,2.02179,1.748085,1.804352,mV
	220.0,"DRVCC @VIN=6V",5.17461,5.174448,5.173689,5.173483,5.173273,5.173044,5.17302,5.172949,5.17303,5.172819,5.172963,5.172767,5.172667,5.17269,5.172566,5.172609,5.172762,5.172776,5.172748,5.172581,5.1727,5.172495,5.172557,5.172633,5.172585,5.172466,5.172624,5.172729,5.172581,5.172628,5.172552,V
	220.1,"VIN @DV -1%",5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,V
	220.2,"DRVCC @DV -1%",5.11444,5.113867,5.109197,5.106961,5.106168,5.105239,5.1049,5.104656,5.103914,5.104258,5.104189,5.103919,5.103633,5.103661,5.103392,5.103346,5.103223,5.103012,5.103096,5.103233,5.102766,5.102965,5.102812,5.102619,5.1027,5.102732,5.102758,5.102586,5.102811,5.102945,5.10239,V
	220.3,"DRVCC DROPOUT VOLTAGE",405.5595,406.1327,410.8029,413.0383,413.8317,414.7606,415.0992,415.3433,416.0852,415.7419,415.8106,416.0805,416.3666,416.3389,416.6078,416.6536,416.7767,416.9874,416.9035,416.7662,417.2335,417.0341,417.1877,417.3803,417.2993,417.2678,417.2411,417.4137,417.1887,417.0542,417.6092,mV
	230.0,"FB CURRENT @5V",0.05231066,0.05075892,0.05201509,0.05488975,0.05548089,0.05135006,0.05585035,0.04189897,0.05725431,0.05363358,0.05349294,0.05371461,0.05378136,0.05364073,0.05466807,0.05135006,0.05260623,0.05378136,0.05518532,0.05607203,0.05444639,0.05282791,0.06080114,0.05585035,0.05260623,0.05873216,0.05370747,0.05378851,0.05260623,0.05378851,0.05348579,uA
	240.0,"OUT HIGH @FB=1.2V",4.997965,4.997965,4.997812,4.997698,4.997698,4.997698,4.997812,4.997965,4.997698,4.998157,4.997965,4.997698,4.997965,4.998233,4.997812,4.998271,4.997812,4.997965,4.997965,4.998233,4.998233,4.998271,4.997812,4.998271,4.998271,4.997736,4.997736,4.998157,4.997812,4.997698,4.997545,V
