
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-590.0372,-575.8398,-571.4872,-570.3708,-568.0331,-567.1468,-566.5166,-565.7917,-565.4479,-565.1806,-564.684,-564.388,-564.1589,-564.5217,-563.6918,-563.8542,-563.5486,-563.243,-563.3203,-562.8906,-562.8428,-562.7759,-562.7378,-562.671,-562.3654,-562.4036,-562.3845,-562.3654,-562.0885,-562.0885,-561.9739,mV
	3.0,"BLANK CONTINUITY",-652.7522,-639.0114,-634.3082,-633.0859,-630.8723,-630.0511,-629.2648,-628.6641,-628.4254,-628.0435,-627.4045,-627.204,-626.8984,-627.2709,-626.5929,-626.4879,-626.2109,-625.8394,-625.9827,-625.6771,-625.3715,-625.4384,-625.5338,-625.4574,-624.9236,-625.1336,-625.0095,-625.1336,-624.8472,-624.8759,-624.533,mV
	3.1,"BLANK @20MA CONTINUITY",-804.5482,-792.7536,-788.9662,-787.8212,-785.9218,-785.3784,-784.5381,-783.9278,-783.5458,-783.5363,-782.8583,-782.4105,-782.0953,-782.4105,-781.9425,-781.8288,-781.3036,-781.189,-781.0372,-781.0467,-780.8748,-780.7316,-780.7985,-780.6552,-780.5788,-780.3496,-780.1873,-780.4164,-780.1873,-780.149,-779.8817,mV
	4.0,"RBLANK CONTINUITY",-689.9669,-677.9813,-674.0888,-672.8197,-670.9394,-670.119,-669.4229,-669.0409,-668.5062,-668.2865,-667.7813,-667.6763,-667.2848,-667.5999,-667.0651,-666.9697,-666.6936,-666.5981,-666.4931,-666.1875,-665.987,-666.1016,-666.0634,-665.7674,-665.6432,-665.882,-665.605,-665.6814,-665.2908,-665.3385,-665.2335,mV
	6.0,"EN CONTINUITY",-704.1556,-693.6301,-689.5858,-688.4781,-686.913,-685.7679,-685.0327,-685.3859,-685.3096,-684.8139,-684.1655,-683.7739,-683.7644,-684.0031,-683.8121,-683.7931,-683.7739,-684.0795,-685.6056,-692.0277,-687.3617,-683.9268,-683.5543,-684.1655,-683.6976,-682.6768,-681.5213,-679.6609,-679.0117,-678.4396,-677.8953,mV
	7.0,"FB CONTINUITY",-700.8638,-690.4148,-686.6456,-685.0804,-683.6307,-682.6385,-682.247,-681.8651,-681.6454,-681.0447,-680.911,-680.72,-680.2817,-680.6055,-679.9952,-679.8901,-679.8901,-679.7947,-679.7278,-679.2122,-679.3458,-679.6609,-679.7278,-679.6705,-679.8138,-680.1957,-680.4344,-680.2626,-679.7278,-679.7947,-679.7947,mV
	8.0,"DRVCC CONTINUITY",-567.8898,-554.188,-549.2739,-547.6705,-545.457,-544.5211,-543.7676,-543.1287,-542.5463,-542.1739,-541.7927,-541.4776,-541.0575,-541.1912,-540.686,-540.6,-540.3995,-540.114,-539.942,-539.6461,-539.6461,-539.5028,-539.3595,-539.264,-539.1877,-539.1208,-539.0349,-538.9585,-538.7388,-538.7388,-538.7388,mV
	9.0,"OUT CONTINUITY",-532.5469,-514.6071,-508.166,-505.9046,-503.0234,-501.7065,-500.7908,-499.5685,-499.4252,-499.006,-497.8992,-497.8228,-497.0502,-497.6996,-496.8688,-496.7542,-496.0666,-495.6664,-495.9902,-495.6664,-494.7689,-494.9121,-495.189,-495.0648,-494.7689,-494.6074,-494.4546,-494.7315,-494.4546,-494.235,-493.9294,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",5.139289,5.013175,5.025306,5.127063,5.061538,5.089723,5.062748,5.122304,5.18152,5.095257,4.996737,5.119175,5.217547,5.1363,5.069245,5.121539,5.103973,5.034429,5.224751,5.103899,5.025494,5.040914,5.154181,5.143609,5.075777,5.123445,5.037415,5.20535,5.125976,5.054,5.097316,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.273891,5.273166,5.27252,5.272252,5.272252,5.272406,5.271909,5.272252,5.271909,5.271909,5.271947,5.271794,5.272252,5.271871,5.271985,5.271794,5.271909,5.271603,5.271909,5.271909,5.271564,5.271603,5.271871,5.271871,5.271871,5.271336,5.271603,5.271603,5.271374,5.271603,5.271603,V
	15.1,"IVIN; PRE-STRESS @VIN=15V",255.9016,257.7468,258.5438,258.6341,259.0464,259.5901,259.459,258.8073,259.6907,259.8741,260.2183,260.232,259.8765,259.6178,260.12,260.3382,260.1386,260.2406,260.2227,260.1263,260.5242,260.3691,260.2127,260.3757,260.7801,260.4055,260.7382,260.0208,260.4686,260.6881,260.425,uA
	18.0,"IVIN ;ABS MAX @VIN=28V",275.1921,277.6936,276.4331,274.5562,276.6398,278.2026,277.715,279.7127,276.414,278.8582,278.4119,278.1106,278.7407,280.6596,280.5663,277.8436,278.0636,276.9227,276.0587,277.7278,277.7821,278.0517,277.5008,278.1176,280.1814,279.3432,277.6021,278.5732,277.5371,278.7842,279.3928,uA
	80.0,"DRVCC VOLTAGE",9.998545,9.998697,9.998774,9.999454,9.998774,9.998697,9.999461,9.998774,9.998767,9.998697,9.99869,9.998774,9.999461,9.998774,9.998774,9.998162,9.998774,9.998697,9.998697,9.997856,9.998162,9.999072,9.998545,9.998774,9.998774,9.998774,9.99885,9.998774,9.998162,9.998774,9.998774,V
	80.1,"DRVCC HIGH STRESS @DRVCC=10V",0.2375269,0.23828,0.2417082,0.2378182,0.2409834,0.2409739,0.2399663,0.2399003,0.2389483,0.2413218,0.2417365,0.2409174,0.2394856,0.2428667,0.2436952,0.2417742,0.2386467,0.2408231,0.2420372,0.2428007,0.2443078,0.2428667,0.2429515,0.2399381,0.2453532,0.2416611,0.2402293,0.2396176,0.2417742,0.243846,0.2397967,mA
	80.2,"DRVCC LOW STRESS @DRVCC=10V",0.2437329,0.2428007,0.247689,0.2470866,0.2463795,0.2456726,0.2456256,0.2452212,0.2486683,0.246719,0.2450703,0.2462289,0.2491961,0.244468,0.2461816,0.245437,0.2470112,0.2472459,0.248838,0.2469828,0.2494976,0.2472459,0.2463984,0.2481884,0.2456726,0.2467849,0.2473872,0.2487907,0.2479905,0.2446,0.2473495,mA
	90.0,"FB @ 9.3V STRESS",-0.4808562,-0.5558768,-0.4605969,-0.3861721,-0.39511,-0.4243071,-0.5314466,-0.4350326,-0.4725142,-0.4862189,-0.4010686,-0.4582135,-0.4415294,-0.3903432,-0.2932757,-0.5475348,-0.4243071,-0.4052396,-0.3855763,-0.4701307,-0.4338409,-0.39511,-0.5100533,-0.4100065,-0.4201361,-0.39511,-0.3766384,-0.4201361,-0.4528508,-0.3939183,-0.4052396,uA
	100.0,"EN @ 9.3V STRESS",-0.4338409,-0.5385969,-0.538001,-0.4100065,-0.4100065,-0.4480839,-0.5100533,-0.4052396,-0.5481306,-0.4552342,-0.4243071,-0.5695816,-0.4153692,-0.4171568,-0.5767319,-0.529659,-0.5201829,-0.4129859,-0.4153692,-0.5243539,-0.4254988,-0.4320534,-0.4713224,-0.4058355,-0.4392036,-0.4046438,-0.4225196,-0.5005196,-0.4540425,-0.4362243,-0.4034521,uA
	110.0,"IN @ 15V STRESS",-0.121294,-0.08792142,-0.1260615,-0.07600266,-0.06467979,-0.05579842,-0.1171224,-0.08255796,-0.102224,-0.08792142,-0.08136607,-0.1599723,-0.05520248,-0.0980524,-0.07898234,-0.1314249,-0.09268893,-0.1224859,-0.06229607,-0.05991234,-0.04983904,-0.121294,-0.07898234,-0.04328371,-0.05520248,-0.07361888,-0.140364,-0.1260615,-0.05991234,-0.09388082,-0.09507266,uA
